Heading,Content,Replies
Cisco ISR 4331 has dialup VPN or not,Cisco ISR 4331 has dialup VPN or not I want to connect from my branch office computer to the main siteI find that it wont support pptp any moreIs there any other dialup vpn method and how to configure,PPTP is comparable to cleartext and should not be used any more You can configure FlexVPN which can support AnyConnect clients  Dont stop after youve improved your network Improve the world by lending money to the working pooror share a meal with a hungry child RVCE I found there is L2TPIPsec on windows but can it do the things I wantor L2TPIPsec just works for ciscotocisco RVCE is it necessary to use AnyConnect clientany other method to setup dialup vpn
DMVPN Reconnect,Dear AllI have done the DMVPN configuration with one HUB and 40 SPOKE Routers with 2 ISP connection I have some concerns regarding the DMVPN rebuilt With my scenario all SPOKE Routers are up with 2 tunnels Then I try to reboot the HUB Router What Im not expected is only a few Routers come up automatically Almost 30 Routers not come up til I remote to each Router to clear the crypto session and restart the interface tunnels When I remote to the route I see its stuck at IKE state Then I type the command clear crypto sa after that it change state to IPSEC then I go to the interface tunnel shutdown and no shutdown After that it come up normally I spend about 30 mins to finish that Do you know how long that DMVPN recheck and rebuild the tunnel again Im not sure I have done wrong configure or not Please see the configuration belowThank for your supportSPOKEcrypto isakmp policy 1 encr aes authentication preshare group 2crypto isakmp key removed address xxxx crypto ipsec transformset CpbTS esp3des espmd5hmac mode transportcrypto ipsec profile ProtectTunnel set securityassociation lifetime seconds 86400 set transformset CpbTSinterface Tunnel1 description TODRRTR01SI ip address xxxx xxxx no ip redirects ip mtu 1400 ip nhrp authentication  ip nhrp map multicast dynamic ip nhrp map xxxx xxxx ip nhrp map multicast xxxx ip nhrp networkid 120 ip nhrp holdtime 600 ip nhrp nhs xxxx ip tcp adjustmss 1360 tunnel source GigabitEthernet01 tunnel mode gre multipoint tunnel key 120 tunnel protection ipsec profile ProtectTunnelHUBcrypto isakmp policy 1encr aesauthentication presharegroup 2crypto isakmp key removed address xxxx crypto ipsec transformset CpbTS esp3des espmd5hmac mode transportcrypto ipsec profile ProtectTunnelset securityassociation lifetime seconds 86400set transformset CpbTSinterface Tunnel1description TODRRTR01SIip address xxxx xxxxno ip redirectsip mtu 1400ip nhrp authentication ip nhrp map multicast dynamicip nhrp networkid 120ip nhrp holdtime 600ip tcp adjustmss 1360tunnel source GigabitEthernet01tunnel mode gre multipointtunnel key 120tunnel protection ipsec profile ProtectTunnel,Hello try to reduce the SA lifetime and disable volume based rekeying crypto ipsec profile ProtectTunnelset securityassociation lifetime seconds 900set securityassociation lifetime kilobytes disableset transformset CpbTS RVCE Thank you so much for your support I have tried your suggestion and rebooted the Hub router Unfortunately the Spoke still cannot connect and need to clear crypto sa I kept them about 18 hours Do you have any ideas RVCE You need to add a DPD funtion to all spokes crypto isakmp keepalive 10 3
Dynamic routing over fex,We have a N93180YXEX with straightthrough N2248TP attachedWe have a 100Mb router thats connected to the FEXWe want to run dynamic routing BGP between the attached router and N93180YXEX In the cisco documentation we see the following When you connect a FEX to a Cisco Nexus 9000 series device the queuing capability on the FEX host interface is limited A router that is connected to a Layer 2 using SVI interfaces cannot participate in routing protocol adjacency The FEX cannot be used as a peer because when congestion occurs on the FEX host interface the control plane traffic is not prioritized This limitation also applies to the FEX when it is connected to other Layer 3 devices such as an ASA firewall an ACE load balancer or other Layer 3 networking devices that are running a dynamic routing protocol Static routes to routers ASA firewalls ACE load balancers and other Layer 3 network devices are supported But i also read the following Beginning with Cisco NXOS Release 703I42 Layer 3 is supported on FEX interfaces and subinterfaces on Cisco Nexus 9300 Series switches Is it possible if we configure the FEX host interface as a layer 3 subinterface that dynamic routing works over this interface Thanks for your help,
Load Balance using BGP with different two ISPs,Hi AllI need help to setup load balance between two different ISPs connected to the one router in the branch and two different router in the HQ we need to load balance the traffic between the two ISPs we are using BGP with both ISPs anyone can help,HiAssuming the links are equal cost you can set up maximumpaths 2 at the HQ Now if the links have different bandwidth you can include on the HQ routersbgp dmzlinkbwneighbor xxxx dmzlinkbwIf the branch router is connected to 2 different AS you can usemaximumpaths 2bgp bestpath aspath mutipathrelax note it is a hidden BGP command so TAB will not complete the wordIf you can share a diagram it will be useful Hope it is useful RVCE To go along with Julios comment if you are going to use maximumpaths for ECMP make sure your BGP attributes for each ECMP desired route are the same as it relates to the best path selection process 1 Weight2 localpref3 aspath length4 origin5 MED6 eBGP over iBGP7 IGP Cost to next hop RVCE Hello in addition to Julios post also have a look at the link below Check topology 4 which I think matches yours There are several different sample configurations that accomplish redundancy as well httpshowipbgpcombgpconfigurationsciscohtml RVCE Hi ahmedhatem Using PBRU can do the load balancingPlease refer the below linkyou will get better ideahttpwwwciscozinecompbrrouteapacketbasedonsourceipaddress RVCE HelloWithout knowing you topology its hard to provide a definitive answer  Can you post a topology diagram pleaseHow is the Branch rtr connecting to HQ  either ISP or via a p2p connection and then uses the isps for wan connectivityresPaul Please dont forget to rate any posts that have been helpfulThanks RVCE I have uploaded the topology diagramThanks
2911 crash after enable ezvpn client,Cisco router 2911 reboots itself with the words Possible software fault after the VPN client configuration is completedAfter adding the selected lines the router dies I can finish the configuration completely with the uplink physically disconnected but then the router dies when it is connected back What could be wrong ConfigMessages after crash,Hello check if you might be running int this bug Recommeded fix is to upgrade to a higher 152 or 153 version such as 1533M1532T11532T1531T21531T11531T Router crash while configuring EzVPN dVTI clientCSCto47294DescriptionSymptom Router crash when configuring ezvpn dvti client Conditions When adding a virtualinterface 1 statement under crypto ipsec client ezvpn config As soon one adds the virtualinterface command he cant add the crypto ipsec client ezvpn out command under egress interface configuration mode interface connected to Internet When further trying to remove crypto ipsec client ezvpn in router crashes Workaroundnone  upgrade to IOS 1511T2 RVCE Unfortunately I tried the latest versions IOS in all branches 152  157 and all of them do not work with this configuration I tested a similar configuration but without using VRF and it works Apparently this bug appears only in the bundle VRF  EZVPN client   RVCE HiIt can be a bug as mentioned George but It also can be generated by lack of resources a time ago I had a similar situation with a 1841 enabling NAT it generated the same error messages Tracebackso I increased the RAM memory and the problem disappearedAlso you can open a case with the Cisco TAC to verify what is generating the problem Hope it is useful RVCE Hello I found another bug that says that this could be caused by having virtual reassembly configured Try and disable this on all interfaces no ip virtualreassembly in
VPN Tunnel down,Dears My GET VPN on branch router 1900 series comes up with the key server in HO after 2 min more or less i get the below debug messages Below are the logs from the branch router 000056 Aug 23 163905587 UTC ISAKMP 1001 received packet from 1721630252 dport 848 sport 848 Global I GDOIIDLE000057 Aug 23 163905587 UTC ISAKMP set new node 1802653788 to GDOIIDLE000058 Aug 23 163905587 UTC ISAKMP1001 processing HASH payload message ID  1802653788000059 Aug 23 163905587 UTC ISAKMPreceived payload type 18000060 Aug 23 163905587 UTC ISAKMP1001Processing delete with reason payload000061 Aug 23 163905587 UTC ISAKMP1001delete doi  1000062 Aug 23 163905587 UTC ISAKMP1001delete protocol id  1000063 Aug 23 163905587 UTC ISAKMP1001delete spisize  16000064 Aug 23 163905587 UTC ISAKMP1001delete num spis  1000065 Aug 23 163905587 UTC ISAKMP1001deletereason  10000066 Aug 23 163905587 UTC ISAKMP1001 processing DELETEWITHREASON payload message ID  1802653788 reason Unknown delete reason000067 Aug 23 163905587 UTC ISAKMP1001peer does not do paranoid keepalives000068 Aug 23 163905587 UTC ISAKMP1001deleting SA reason IKE SA Lifetime Exceeded state I GDOIIDLE peer 1721630252000069 Aug 23 163905587 UTC ISAKMP1001deleting node 1802653788 error FALSE reason Informational in state 1000070 Aug 23 163905587 UTC IPSECkeyengine got a queue event with 1 KMI messages000071 Aug 23 163905587 UTC IPSec Key engine got a KEYMGRCHECKMORESAS message000072 Aug 23 163905587 UTC ISAKMP 1001 IPSec has no more SAs with this peer Wont keepalive phase 1000073 Aug 23 163905587 UTC ISAKMP set new node 425358802 to GDOIIDLE000074 Aug 23 163905587 UTC ISAKMP1001 sending packet to 1721630252 myport 848 peerport 848 I GDOIIDLE000075 Aug 23 163905587 UTC ISAKMP1001Sending an IKE IPv4 Packet000076 Aug 23 163905587 UTC ISAKMP1001purging node 425358802000077 Aug 23 163905591 UTC ISAKMP1001Input  IKEMESGINTERNAL IKEPHASE1DEL000078 Aug 23 163905591 UTC ISAKMP1001Old State  IKEP1COMPLETE New State  IKEDESTSA000079 Aug 23 163905591 UTC ISAKMP1001deleting SA reason IKE SA Lifetime Exceeded state I GDOIIDLE peer 1721630252000080 Aug 23 163905591 UTC ISAKMP Unlocking peer struct 0x2C2228C0 for isadbmarksadeleted count 0000081 Aug 23 163905591 UTC ISAKMP Deleting peer node by peerreap for 1721630252 2C2228C0000082 Aug 23 163905591 UTC ISAKMP1001Input  IKEMESGFROMPEER IKEMMEXCH000083 Aug 23 163905591 UTC ISAKMP1001Old State  IKEDESTSA New State  IKEDESTSA000084 Aug 23 163905591 UTC IPSECkeyengine got a queue event with 1 KMI messages Thanks,Hello hard to say can you post the configs of both sides  RVCE DearsAttached are the configs thanks RVCE Hello configurations look ok Do you have any group members successfully exchanging encrypted traffic or is that the only one with that problem  You might want to try and change the lifetime values on both devices as below marked in bold KS crypto isakmp policy 2 encr 3des hash md5 authentication preshare group 2 lifetime 86400crypto isakmp key cisco address 0000 noxauthcrypto isakmp key cisco address 0000 noxauthcrypto isakmp fragmentationcrypto isakmp invalidspirecoverycrypto isakmp keepalive 15 periodiccrypto isakmp nat keepalive 300crypto isakmp aggressivemode disablecrypto isakmp xauth timeout 30 crypto ipsec transformset aes128 espaes espshahmac mode tunnelcrypto ipsec profile profile1 set securityassociation lifetime seconds 7200 set transformset aes128 crypto gdoi group test identity number 333 server local rekey algorithm aes 128 rekey lifetime 86400 rekey retransmit 60 number 5 rekey authentication mypubkey rsa MYRSAKEY rekey transport unicast sa receiveonly sa ipsec 1 profile profile1 match address ipv4 getvpnacl replay time windowsize 5 no tag address ipv4 1721630252 redundancycrypto identity GETVPN dn ousnmpuser BRANCH GM crypto isakmp policy 2 lifetime 300 encr 3des hash md5 authentication preshare group 2 RVCE Dear Georgi have removed the Zone based firewall configuration from the router and when i checked the communication between the KS and GM below are the outputs but i cant see any tunnel by command sh crypto isakmp sa KS show crypto gdoi ks membersGroup Member Information Number of rekeys sent for group TEST  1Group Member ID  10128342 GM Version 1010 Group ID  333 Group Name  TEST GM State  Registered Key Server ID  1721630252 Rekeys sent  1 Rekeys retries  0 Rekey Acks Rcvd  1 Rekey Acks missed  0 Sent seq num  0 0 0 1Rcvd seq num  0 0 0 1 Branchshow crypto gdoi gm rekeyGroup TEST Unicast Number of Rekeys received cumulative  1 Number of Rekeys received after registration  1 Number of Rekey Acks sent  1 Branchsh crypto isakmp saIPv4 Crypto ISAKMP SAdst src state connid statusIPv6 Crypto ISAKMP SAthanks RVCE Adam can you post the relevant parts of  the configurations of the routers that are in between the GM and the KS  So I can lab your setup  RVCE Dear Georg Just to highlight why i dont cant see any tunnel up by command sh crypto isakmp sa is this because i m generating the traffic from the branch to the loopback interface on the KS and not becz of another  I m really confused rekey transition are sent and replies are also seen BRANCHcrypto isakmp policy 1 encr aes hash md5 authentication preshare group 2 lifetime 300crypto isakmp policy 2 encr 3des hash md5 authentication preshare group 2crypto isakmp key 6 cMKYKXVRALeiSAcHaPJgZCTCFeGPLaFAFJBcOOMbZLU address 1721630252 noxauth crypto isakmp keepalive 30 periodiccrypto isakmp nat keepalive 30crypto isakmp aggressivemode disablecrypto gdoi group test identity number 333 server address ipv4 1721630252crypto map GDOI localaddress GigabitEthernet01crypto map GDOI 10 gdoi set group test interface GigabitEthernet01 bandwidth 1024 ip address 10128342 2552552550 no ip redirects no ip unreachables no ip proxyarp zonemember security outside duplex auto speed auto no mop enabled crypto map GDOI KEYSERVER crypto isakmp policy 1 encr aes hash md5 authentication preshare group 2crypto isakmp policy 2 encr 3des hash md5 authentication preshare group 2crypto isakmp key cisco address 0000 noxauthcrypto isakmp key cisco address 0000 noxauthcrypto isakmp fragmentationcrypto isakmp invalidspirecoverycrypto isakmp keepalive 15 periodiccrypto isakmp nat keepalive 300crypto isakmp aggressivemode disablecrypto isakmp xauth timeout 30crypto ipsec transformset aes128 espaes espshahmac mode tunnelcrypto ipsec profile profile1 set securityassociation lifetime seconds 7200 set transformset aes128crypto gdoi group test identity number 333 server local rekey algorithm aes 128 rekey retransmit 60 number 5 rekey authentication mypubkey rsa MYRSAKEY rekey transport unicast sa receiveonly sa ipsec 1 profile profile1 match address ipv4 getvpnacl replay time windowsize 5 no tag address ipv4 1721630252 redundancycrypto identity GETVPN dn ousnmpuserip accesslist extended getvpnacl deny udp any eq 848 any eq 848 deny tcp any any eq 7777 deny udp any any eq snmp deny udp any eq snmp any deny tcp any eq 7777 any deny udp any any eq 848 deny udp any eq 848 any deny udp any any eq domain deny udp any eq domain any deny tcp any any eq 22 deny tcp any eq 443 any deny tcp any any eq www deny tcp any eq www any deny tcp any any eq 443 deny tcp any eq 22 any deny tcp any any eq tacacs deny tcp any eq tacacs any deny tcp any any eq bgp deny tcp any eq bgp any deny tcp any any eq 7800 deny tcp any eq 7800 any deny tcp any any eq 7810 deny tcp any eq 7810 any permit ip 1012900 0031255 any permit ip any 1012900 0031255interface GigabitEthernet00 description ETHLANETHSWLAUNCHINTFINFOGE 00 ip address 1721630252 2552552550 duplex auto speed auto Thanks RVCE DearsAnybody can help me to solve the issuethanks
PfR Parent Route,HelloOn the way to achieve the CCIE I am studying so deeply the PfR protocol and Ill used in my production environment But I would like to understand so clearly the Parent Route conceptI would like to know what are the best hardware devices to Netflow My experience with Netflow on 7200 router was awful Best regards,
Packet tracer frame relay routers wont ping,Hello guys im new to configuring routing protocols and Im trying to understand why I keep getting a destination host unreachable messagewhen I ping from router to router across a framerelay cloud or from one host in vlan 40 or 50 to another host in vlan 20 or 30 Anyone care to share where I should fix my mistake in configuration Thank you for helping in advance Attached packet tracer file below frame relay ipad mobilepkt Solved Go to Solution,Hello you have simply misconfigured your serial interfaces with IP addresses that do not belong to the same subnet and subsequently advertise the wrong network in EIGRP which keeps EIGRP from establishing a neighbor Here is what you should configure ro interface Serial20 bandwidth 64 ip address 20090802 2552552550 encapsulation framerelay framerelay map ip 20090801 101 broadcastrouter eigrp 1 network 20090800 network 192168200 network 192168300 no autosummary r1 interface Serial30 bandwidth 64 ip address 20090801 2552552550 encapsulation framerelay framerelay map ip 20090802 201 broadcast clock rate 2000000router eigrp 1 network 20090800 network 192168400 network 192168500 no autosummary RVCE Hello you have simply misconfigured your serial interfaces with IP addresses that do not belong to the same subnet and subsequently advertise the wrong network in EIGRP which keeps EIGRP from establishing a neighbor Here is what you should configure ro interface Serial20 bandwidth 64 ip address 20090802 2552552550 encapsulation framerelay framerelay map ip 20090801 101 broadcastrouter eigrp 1 network 20090800 network 192168200 network 192168300 no autosummary r1 interface Serial30 bandwidth 64 ip address 20090801 2552552550 encapsulation framerelay framerelay map ip 20090802 201 broadcast clock rate 2000000router eigrp 1 network 20090800 network 192168400 network 192168500 no autosummary RVCE Thank you so much George Do the interfaces of the devices going towards the cloud framerelay setup have to always be in the same subnet weather multipoint or pointtopoint  RVCE Chris the short answer is yes IP addresses from the same subnet are required
Understanding the significance of Wight attribute in BGP Best Path Selection,Why does Cisco use Weight for BGP path selection process whereas others dont use it Is there a specific significance for it ,Since it is locally significant to BGP router you can use it to load balance traffic in scenario where you have 1 router and 2 BGP neighbors and want ot load balance traffic Configure higher weight for specific neighbor on some NLRI that is advertised from both neighbors and traffic will be forwarded according to configured weight attribute Configuration exampleaccesslist 10 permit 19216800 000255accesslist 20 permit 1721600 000255routemap ISP1 permit 10 match ip address 10 set weight 500routemap ISP1 permit 20routemap ISP2 permit 10 match ip address 20 set weight 500routemap ISP2 permit 20router bgp 65500 neighbor 10001 routemap ISP1 in neighbor 1010101 routemap ISP2 in The same principle can be used to route traffic on any BGP router in the network however it will create additional administrative overhead just as routing traffic with static routes RVCE HiThere are many ways to manipulate path for BGP paths they are known as BGP attributes or in some cases BGP parameters There is a list of BGP attributes and it has an order Weight is a Cisco only parameter it is local significant for the router where it is configured basically it is ideal when you are not using iBGP on your network infrastructure basically used on the border routers having eBGP peering only in order to select a best way over other The higher Weight value is always preferred If you have an iBGP network I suggest to use Local Preference because the LP value is transmitted on the local AS I suggest the following link for additional information httpswwwciscocomcenussupportdocsipbordergatewayprotocolbgp1375325htmlhttpnetcertsnetbgppathattributesandthedecisionprocess Hope it is useful RVCE The original post asks why did Cisco create this unique vendor specific attribute I believe that the answer is that Cisco wanted to go beyond the standard features identified in the RFC which specifies this routing protocol and which every vendor must implement to provide a unique capability Weight is very similar to Local Preference They both provide a way for a router to prefer certain prefixes learned from one neighbor over those prefixes learned from other neighbors If you have a single router running BGP to multiple neighbors then it would not matter whether you use Weight or Local Preference to prefer certain prefixes from one of the neighbors You would get the same results with either method of establishing preference But if you have multiple routers in your network running BGP and with multiple routers running BGP you should be running IBGP between your routers then there is a difference If router A learns a prefix ans assigns a Local Preference to it then it will advertise that prefix to router B with that Local Preference and both routers will have the same degree of preference for that route But what if router A leanrs a prefix and wants to assign a preference but you do not necessarily want router B to have that same preference In that case the unique Cisco attribute of Weight can accomplish what you need This is the reason why Cisco created the Weight attribute in BGP HTH Rick
BGP routes when OSPF routes are unavailable,HelloHere is my simplified network layout AS and IPs are made up for privacyAs you can see we own one 20 and we have two locations connected to two different Internet peers Network 1 is announcing the whole 20 and Network 2 is announcing the same IP space broken up in two 21 The more specific BGP announcement wins Both locations are also connected via a Metro Ethernet connection and both sides are part of OSPF area 0 Both locations are also BGP peering with each other Routing between both locations works fine so does the BGP routing to our peers Should Internet Peer 1 fail traffic makes it just fine to Network 1 via Internet Peer 2 and its connected Metro ethernet So basically everything is working great as long as the Metro Ethernet link between Network 1 and Network 2 is up If the Metro Ethernet connection fails I can no longer reach resources on the other network The plan is that traffic should go over the internet if the Metro Ethernet connection is down When I do a traceroute while the Network Ethernet is down from Network 1 to Network 2 the route goes to Null 0 Since OSPF cant communicate with the other network traffic destined to the other network goes to Null0 However BGP still has a valid default route to the internet Also please note that traffic originated from the internet and destined to other network will reach the destination just fineThe question is What do I need to do so that I can still reach the other network from each location when the Metro Ethernet connection failsI can post configs if neededThanks for your helpJB Solved Go to Solution,JB Thanks for the additional information I certainly understand that you need to perform some aggregation because you can not advertise anything smaller than 24 to your upstream What I was trying to suggest is that there is more than one way to perform that aggregation 1 use the aggregate address command This produces a summary route and puts a null route into the routing table to protect against routing loops but it has the possibility to black hole traffic when the Metro E is not working 2 use a static route for the summary This produces a summary route and does not put a null route into the routing table So it does not have potential to black hole traffic but does have potential for routing loops So there are pluses and minuses for each alternative It is a tradeoff You should choose which to use realizing the implications of the choice and selecting the one that you think is the best fit for your environment I am a bit puzzled at part of your response You say that the addresses are not intermingled and each side has a unique set of addresses But your post says that 1110 is on one side and 1120 is on the other side To make things work you need to be able to advertise the individual 24 But you do not want BGP to advertise many 24 but to aggregate That is why I suggest that a GRE tunnel would be a good solution to your issue It would allow the individual sites to see details from the other site but would allow BGP to only advertise the summarized routes HTH Rick RVCE It appears your problem is the summary null 0 route in the rib Now I am not sure if this is the best way to fix the problem but you can remove the null route from both edge routers and that should fix the problem or you will need to come up with a summary address that doesnt overlap 1110 with 1120 Below is the config to remove null route router ospf xx discardroute internal 255 RVCE cofee0400 You correct I do have null routes in my rib sho ip route  incl Null B 111021 2000 via 0000 7w0d Null0 B 118021 2000 via 0000 7w0d Null0 sho ip route 1110 2552552480 Routing entry for 111021 Known via bgp 1234 distance 200 metric 0 type locally generated Routing Descriptor Blocks  directly connected via Null0 Route metric is 0 traffic share count is 1 AS Hops 0 However when I look up a specific route I get sho ip route 111100 Routing entry for 111024 Known via connected distance 0 metric 0 connected via interface Redistributing via ospf 1 Advertised by bgp 1234 Routing Descriptor Blocks  directly connected via GigabitEthernet13 Route metric is 0 traffic share count is 1 Is this because of the following in my config aggregateaddress 1110 2552552480 summaryonly aggregateaddress 1180 2552552480 summaryonly JB RVCE Below output is from network 1 or 2 B 111021 2000 via 0000 7w0d Null0 B 118021 2000 via 0000 7w0d Null0  Can you also provide null 0 static route entries from both networks that are used to advertise in BGP I think what happens is when you lose the metro Ethernet connection you also lose specific routes that are attached to the other network and since you have null 0 for loop prevention the traffic is sent there so it never makes to your default gateway RVCE coffee0400 Thanks again for your help I dont have any static Null routes in any of my routers I think the Null routes are created by bgp in response to the aggregation see post above The null routes become a black hole if my Metro ethernet connection fails because the traffic does not go out the default gateway as intended Any more info Thanks JB RVCE But you shouldnt be able to advertise a prefix in BGP if its not installed in the global RIB How the router is learning that prefix RVCE The prefix is learned through OSPF and advertised because of a matching bgp network statement network 1140 mask 2552552550 JB RVCE Thanks Removing summary only wouldnt stop injecting a null route with summary only key word it suppresses advertising of specific prefixes from aggregated space Its the aggregate address network command that causes null route injection RVCE For the sake of keeping my help request simple I simplified my network layout quite a bid The conceptional idea however is the same We actually have several 20 and 21 IP prefixes that we break out based on usage So its not uncommon to have one 20 broken out in anything from a 30 to a 24 Since I advertise to my Internet provider a minimum of a 24 I need to aggregate all my small prefixes Now that you have a good understanding of my problem do you think your previous suggestion of using discardroute internal 255 is still valid Please let me know Thanks again JB RVCE Actually that was for ospf null route I was under the impression that edge router was learning the summary address from ospf and then advertise in BGP What if you remove aggregate address from bgp and use network command to advertise those prefixes For that you can either create a static route for the prefix that needs to be advertised or may be use ospf advertise a summary route but not sure if that would be possible using ospf without knowing ospf topology Below is what you can do ip route 1110 2552552480 xxxx next hop address bgp xxx network 1110 mask 2552552480 no aggregateaddress 1110 2552552480  or if you dont want to do that then may be you can create specific static routes pointing towards default route that you lose when metro Ethernet connection is down You can create those static routes with a higher administrative then iBGP so they will only be installed when you lose connection to another site through metro Ethernet let me know if that makes sense RVCE Hello When you lose your IBGPIGP link both sites are still advertsing the aggregate to either ISP and as such the ISP still sees the summary coming from its peered site and also you have a null route still in the rib blackholing becasue of itWhy not just advertise all specifc networks to both ISPs and negate the summerisation and make sure you dont be come a transit for either ISP by just advertising you local routes and nothing elseresPaul Please dont forget to rate any posts that have been helpfulThanks RVCE Paul Thanks for your help I have removed summaryonly from the aggregateaddress command on both routers and after clear ip bgp  soft checked if I still have the null routes in my rib As you can see below I continue to have the Null routes present within my rib FYI I advertise the address space on both routers with different prefixes to have inbound routes reach the router handling the specific IP space directlyand to provide redundancy in case of an outage to one of my BGP peers Router 1 aggregateaddress 1110 2552552480 Router 1sh ip bgp neighbors xxxx advertisedroutes BGP table version is 2282 local router ID is 1025501 Status codes s suppressed d damped h history  valid  best i  internal r RIBfailure S Stale Origin codes i  IGP e  EGP   incomplete Network Next Hop Metric LocPrf Weight Path  111024 0000 0 32768 i  111021 0000 32768 i i112023 1121 0 100 0 i i114024 1121 0 100 0 i Router 1 sho ip route  inc Null B 111021 2000 via 0000 103857 Null0  Router 2 aggregateaddress 1120 2552552540 aggregateaddress 1140 2552552550 Router 2 sho ip bgp neighbors xxxx advertisedroutes BGP table version is 12625316 local router ID is 1025502 Status codes s suppressed d damped h history  valid  best i  internal r RIBfailure S Stale Origin codes i  IGP e  EGP   incomplete Network Next Hop Metric LocPrf Weight Path i111024 1111 0 90 0 i i111021 1111 0 90 0 i  112023 0000 32768 i  114024 0000 32768 i Router 2 sho ip route  inc Null B 114024 2000 via 0000 7w0d Null0 B 112023 2000 via 0000 6w2d Null0 These Null routes prevent traffic from using my default route when the Metro Ethernet connecting router 1 and router 2 fails Any more tips Thanks JB RVCE JB There are some things that we do not know about your network which might affect the suggestions that we would make such as the distribution of networkssubnets between sites whether the sites are using public IP addressing inside the site does not use NAT or uses private addressing inside and does NAT for Internet access But based on what we know so far I believe that there are several aspects of your situation that we can discuss  the null route in the routing table This is a normal behavior of aggregate addressIf you think about it we can understand this from several perspectives A It is a basic behavior of BGP that the protocol will not advertise a route to the neighbors that is not in the routing table So when you use aggregate address to advertise a summary regardless of whether you use summary only BGP needs that summary address to be in the routing table and so aggregate address creates the null route B The behavior of aggregate address is very similar to the behavior of summary address in EIGRP or the behavior of summarization in OSPF When these routing protocols create a summary address they create a null route for it  There is an advantage of using aggregate address in that BGP will advertise the summary only if one or more included address blocks are in the active routing table So if there are no constituent routes then the summary is not advertised If you want this behavior then you need to use aggregate address and have the null route in the routing table If the null route is causing issues as may be the case here then you need to look for an alternative which would be to configure a static route for the summary If you configure a static route for the summary then you can use the address of the next hop router as the next hop in the static route and it will not black hole traffic  Note that using a static route instead of aggregate address involves a trade off You get the advantage of not black holing traffic but you lose the protection against potential routing loops So consider the pluses and minuses and choose which technique you want to use  I believe that there is another issue when you advertise the 20 from site 1 and advertise two 21 from site 2 Remember that a basic principle of IP routing is that longest match wins So site 1 will know that it should go to site 2 for an address that is not local to site 1 site 1 has learned two 21 routes in addition to its 20 But consider what happens at site 2 When it needs to reach a destination that is not local it looks in the routing table finding the 20 from site 1 but also finding the 21s Longest match says that 21 wins and it would not send traffic to site 1  There appears to be another issue if your example truly represents what is going on in your network You show 1110 in site 1 and 1120 in site 2 If the subnets are truly intermingled like that then determining what is a destinatino within the site or what is remote becomes quite challenging OSPF running over the Metro E solves this But what to do is Metro E is down and OSPF is not communicating I would suggest that the solutin would be to configure a GRE tunnel that runs between sites over the Internet Use OSPF through the tunnel and manipulate the metric that that it is less attractiveThis would allow you to route accurately between sites and also provides a solution to the question of null routes HTH Rick RVCE PaulThanks for your response…Here are some answers to some of the questions you’ve asked “There are some things that we do not know about your network which might affect the suggestions that we would make such as the distribution of networkssubnets between sites whether the sites are using public IP addressing inside the site does not use NAT or uses private addressing inside and does NAT for Internet access” The two routers in my scenario do not use NAT nor do they use private IP addressing All IPs are public IPs owned by us and address assignments do not intermingle between the two sides For example a 24 out of the 20 is only utilized on one side of the network Although the 24 might be broken down further into smaller blocks ie 29s they are still only utilized on one side of the networkYou are 100 correct the Null route is the product of the BGP aggregation statements The aggregates are needed because I can’t obviously not announce anything less then a 24 to my upstream provider Since most of my IP space is broken up in anything from 30s to 24s I will need to aggregate the space before I can announce it to by upstream provider“There appears to be another issue if your example truly represents what is going on in your network You show 1110 in site 1 and 1120 in site 2 If the subnets are truly intermingled like that then determining what is a destination within the site or what is remote becomes quite challenging OSPF running over the Metro E solves this But what to do is Metro E is down and OSPF is not communicating” …and this is exactly what is going on… OSPF is working great making sure that both sides can communicate with each other… but once the the Metro Ethernet is down all hell breaks looseI like the idea of the GRE tunnel to maintain the OSPF routing between both sides It’s easy to configure and will hopefully address issue ThanksJB RVCE JB Thanks for the additional information I certainly understand that you need to perform some aggregation because you can not advertise anything smaller than 24 to your upstream What I was trying to suggest is that there is more than one way to perform that aggregation 1 use the aggregate address command This produces a summary route and puts a null route into the routing table to protect against routing loops but it has the possibility to black hole traffic when the Metro E is not working 2 use a static route for the summary This produces a summary route and does not put a null route into the routing table So it does not have potential to black hole traffic but does have potential for routing loops So there are pluses and minuses for each alternative It is a tradeoff You should choose which to use realizing the implications of the choice and selecting the one that you think is the best fit for your environment I am a bit puzzled at part of your response You say that the addresses are not intermingled and each side has a unique set of addresses But your post says that 1110 is on one side and 1120 is on the other side To make things work you need to be able to advertise the individual 24 But you do not want BGP to advertise many 24 but to aggregate That is why I suggest that a GRE tunnel would be a good solution to your issue It would allow the individual sites to see details from the other site but would allow BGP to only advertise the summarized routes HTH Rick
