Post,Date,Views,Replies,Upvotes,Link,Resolved
DTMF tones not working when diallig out,03-22-2018,73,1,0,https://supportforums.cisco.com//t5/ip-telephony/dtmf-tones-not-working-when-diallig-out-of-cisco-cube/td-p/3353420,0
Music On Hold Call Manager 115,03-21-2018,229,5,0,https://supportforums.cisco.com//t5/ip-telephony/music-on-hold-call-manager-11-5/td-p/3352632,1
CUCM Upgrade 105 to CUCM 115 failed,09-29-2017,490,3,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-upgrade-10-5-to-cucm-11-5-failed/td-p/3191576,0
Jabber or cucilync,03-22-2018,64,1,0,https://supportforums.cisco.com//t5/ip-telephony/jabber-or-cucilync/td-p/3353353,0
Jabber or cucilync,03-22-2018,117,1,0,https://supportforums.cisco.com//t5/ip-telephony/jabber-or-cucilync/td-p/3353356,0
Call failing with a DSP error,03-22-2018,99,5,5,https://supportforums.cisco.com//t5/ip-telephony/call-failing-with-a-dsp-error/td-p/3353187,0
IPMA  Secretary Presence,03-21-2018,196,5,5,https://supportforums.cisco.com//t5/ip-telephony/ipma-secretary-presence/td-p/3352235,1
Removing Certificates from CUCM,10-13-2016,2217,4,0,https://supportforums.cisco.com//t5/ip-telephony/removing-certificates-from-cucm/td-p/2934514,1
I try to install COP file on for upgrad,03-22-2018,61,1,0,https://supportforums.cisco.com//t5/ip-telephony/i-try-to-install-cop-file-on-for-upgrade-cucm-from-9-1-to-11-5/td-p/3353042,0
E1 R2  Call from Cisco phone ok to PST,03-22-2018,181,8,0,https://supportforums.cisco.com//t5/ip-telephony/e1-r2-call-from-cisco-phone-ok-to-pstn-but-call-from-skype-fails/td-p/3353025,1
PSTNIntercluster Forced Authorization ,03-21-2018,134,2,5,https://supportforums.cisco.com//t5/ip-telephony/pstn-intercluster-forced-authorization-code-fac/td-p/3352571,1
conditional sip trace command ,03-21-2018,75,4,0,https://supportforums.cisco.com//t5/ip-telephony/conditional-sip-trace-command/td-p/3352577,0
H323 Internal Error H323 Interworking,03-21-2018,157,3,0,https://supportforums.cisco.com//t5/ip-telephony/h323-internal-error-h323-interworking-error-iec-1-1-127-5-21-0/td-p/3352267,0
to extract call history from CUCM,03-21-2018,262,6,0,https://supportforums.cisco.com//t5/ip-telephony/to-extract-call-history-from-cucm/td-p/3352205,1
CUCM Backup Doesnt delete the old back,08-11-2013,1309,7,17,https://supportforums.cisco.com//t5/ip-telephony/cucm-backup-doesn-t-delete-the-old-backup/td-p/2347140,0
registering new phone status failed,08-27-2017,506,13,0,https://supportforums.cisco.com//t5/ip-telephony/registering-new-phone-status-failed/td-p/3176402,1
Add route group to outbound SIP invite ,03-21-2018,97,2,5,https://supportforums.cisco.com//t5/ip-telephony/add-route-group-to-outbound-sip-invite-via-lua/td-p/3352813,0
Doubt about caller ID,03-21-2018,150,2,10,https://supportforums.cisco.com//t5/ip-telephony/doubt-about-caller-id/td-p/3352679,1
CUCM features,03-21-2018,62,3,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-features/td-p/3352562,0
7961 phone stuck with the speaker light,02-27-2014,4399,16,5,https://supportforums.cisco.com//t5/ip-telephony/7961-phone-stuck-with-the-speaker-light-on/td-p/2425512,0
What happened to the TrnsfVM softkey in,11-02-2015,346,10,5,https://supportforums.cisco.com//t5/ip-telephony/what-happened-to-the-trnsfvm-softkey-in-cucm/td-p/2778770,0
Inbound International Call issue for on,03-21-2018,48,1,5,https://supportforums.cisco.com//t5/ip-telephony/inbound-international-call-issue-for-one-user/td-p/3352563,0
Cisco mobile MRA Jabber OAuth Refresh ,03-21-2018,188,0,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-mobile-mra-jabber-oauth-refresh-token-and-windows/td-p/3352502,0
CUCM Location setting on Device Pool,01-27-2012,1993,7,40,https://supportforums.cisco.com//t5/ip-telephony/cucm-location-setting-on-device-pool/td-p/1810030,0
ATA190s not registering after network i,02-14-2017,181,6,15,https://supportforums.cisco.com//t5/ip-telephony/ata190s-not-registering-after-network-issues/td-p/3073927,0
User name change after marriage,03-20-2018,117,4,0,https://supportforums.cisco.com//t5/ip-telephony/user-name-change-after-marriage/td-p/3351918,0
SIP TRUNK BETWEEN TRIXBOX AND CME,02-26-2018,501,20,0,https://supportforums.cisco.com//t5/ip-telephony/sip-trunk-between-trixbox-and-cme/td-p/3337736,1
IP Phone 7960 No DNS Server IP,03-20-2018,75,3,0,https://supportforums.cisco.com//t5/ip-telephony/ip-phone-7960-no-dns-server-ip/td-p/3352157,0
how to find Provide Outside Dial Tone,03-13-2018,94,3,20,https://supportforums.cisco.com//t5/ip-telephony/how-to-find-quot-provide-outside-dial-tone-quot/td-p/3347687,0
Called number display on IP Phone scree,03-20-2018,116,6,0,https://supportforums.cisco.com//t5/ip-telephony/called-number-display-on-ip-phone-screen/td-p/3352133,0
ephone dn not working,03-31-2008,2306,21,0,https://supportforums.cisco.com//t5/ip-telephony/ephone-dn-not-working/td-p/960415,1
when Call mangaer will send cIN IP4 0,03-19-2018,162,3,10,https://supportforums.cisco.com//t5/ip-telephony/when-call-mangaer-will-send-c-in-ip4-0-0-0-0-in-sip-message/td-p/3350992,0
MPLSSIP  Physical Termination 7K CUBE,08-30-2017,126,3,0,https://supportforums.cisco.com//t5/ip-telephony/mpls-sip-physical-termination-7k-cube/td-p/3178209,0
DN to DID,03-20-2018,117,2,5,https://supportforums.cisco.com//t5/ip-telephony/dn-to-did/td-p/3351887,1
Updating NTP server on Call Manager,03-19-2018,230,11,15,https://supportforums.cisco.com//t5/ip-telephony/updating-ntp-server-on-call-manager/td-p/3351207,0
Block malicious calls from PSTN,03-20-2018,118,4,15,https://supportforums.cisco.com//t5/ip-telephony/block-malicious-calls-from-pstn/td-p/3351625,0
SKU  Workforce Optimization Subscriber,03-20-2018,169,0,0,https://supportforums.cisco.com//t5/ip-telephony/sku-workforce-optimization-subscriber/td-p/3351600,0
Integration with Skype for business  I,03-20-2018,250,4,5,https://supportforums.cisco.com//t5/ip-telephony/integration-with-skype-for-business-issue-with-g729/td-p/3351467,1
CDR service on subscriber wont start,03-18-2018,209,5,0,https://supportforums.cisco.com//t5/ip-telephony/cdr-service-on-subscriber-won-t-start/td-p/3350381,1
CUCM 115 LDAP Sync failed,11-12-2017,303,5,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-11-5-ldap-sync-failed/td-p/3215427,0
Cube Sip tlssrtp to siprtp,03-05-2018,351,12,0,https://supportforums.cisco.com//t5/ip-telephony/cube-sip-tls-srtp-to-sip-rtp/td-p/3342286,1
7841 shield icon,03-18-2018,206,4,0,https://supportforums.cisco.com//t5/ip-telephony/7841-quot-shield-quot-icon/td-p/3350573,1
When one renews SmartNet do you go by ,03-19-2018,104,3,0,https://supportforums.cisco.com//t5/ip-telephony/when-one-renews-smartnet-do-you-go-by-quot-required-quot-or-quot/td-p/3351114,0
IP Communicator 866 cause BSOD,03-19-2018,93,2,0,https://supportforums.cisco.com//t5/ip-telephony/ip-communicator-8-6-6-cause-bsod/td-p/3350975,0
Route Pattern help CUCM 11,03-18-2018,216,7,0,https://supportforums.cisco.com//t5/ip-telephony/route-pattern-help-cucm-11/td-p/3350561,1
BE3000 User can not change greeting,03-19-2018,133,0,0,https://supportforums.cisco.com//t5/ip-telephony/be3000-user-can-not-change-greeting/td-p/3351302,0
License file failed to upload,03-19-2018,129,1,0,https://supportforums.cisco.com//t5/ip-telephony/license-file-failed-to-upload/td-p/3350710,0
Fax outbound rings once 4321 SRST FXS P,03-16-2018,169,3,0,https://supportforums.cisco.com//t5/ip-telephony/fax-outbound-rings-once-4321-srst-fxs-port/td-p/3350085,0
ISE 23 Root CA feature to sign EAP Cer,03-19-2018,108,2,0,https://supportforums.cisco.com//t5/ip-telephony/ise-2-3-root-ca-feature-to-sign-eap-certificate/td-p/3350881,0
CUCM 1151 WARNING DNS unreachable,03-14-2018,485,4,5,https://supportforums.cisco.com//t5/ip-telephony/cucm-11-5-1-warning-dns-unreachable/td-p/3348220,0
issue in DTMF between the Cucm And Ques,03-14-2018,121,3,0,https://supportforums.cisco.com//t5/ip-telephony/issue-in-dtmf-between-the-cucm-and-quescom-gsm-gateway/td-p/3348646,0
MRA Configuration and SubDomain,03-19-2018,110,0,0,https://supportforums.cisco.com//t5/ip-telephony/mra-configuration-and-subdomain/td-p/3350886,0
SIP PSTN LAB,03-19-2018,106,3,0,https://supportforums.cisco.com//t5/ip-telephony/sip-pstn-lab/td-p/3350664,0
Cisco wireless SIP phone 8821 not getti,01-28-2017,6836,11,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-wireless-sip-phone-8821-not-getting-connected-to-the/td-p/3070071,0
CP7800WMK vs CPLCKNGWALLMOUNT compat,09-02-2014,273,2,0,https://supportforums.cisco.com//t5/ip-telephony/cp-7800-wmk-vs-cp-lckngwallmount-compatibility/td-p/2543141,0
CUCM Media Resources Device Pool,03-18-2018,221,6,5,https://supportforums.cisco.com//t5/ip-telephony/cucm-media-resources-device-pool/td-p/3350510,1
Two unity connection clusters as one,03-16-2018,155,3,0,https://supportforums.cisco.com//t5/ip-telephony/two-unity-connection-clusters-as-one/td-p/3350042,0
dial plan and interdigit timeout,09-20-2012,6597,16,27,https://supportforums.cisco.com//t5/ip-telephony/dial-plan-and-inter-digit-timeout/td-p/2026173,0
MGCP configuration issue,11-18-2012,1464,11,0,https://supportforums.cisco.com//t5/ip-telephony/mgcp-configuration-issue/td-p/2097745,1
Phone 7821 another window,03-07-2018,163,2,5,https://supportforums.cisco.com//t5/ip-telephony/phone-7821-another-window/td-p/3344253,0
CME Debugging,03-18-2018,178,5,5,https://supportforums.cisco.com//t5/ip-telephony/cme-debugging/td-p/3350415,1
Im having problems understanding a sch,07-20-2015,400,2,4,https://supportforums.cisco.com//t5/ip-telephony/i-m-having-problems-understanding-a-school-assignment/td-p/2694922,0
import phone all detail error  ,09-06-2012,4735,11,10,https://supportforums.cisco.com//t5/ip-telephony/import-phone-all-detail-error/td-p/2043333,1
Can CUBE Forking Record Outbound Calls,03-17-2018,199,5,0,https://supportforums.cisco.com//t5/ip-telephony/can-cube-forking-record-outbound-calls/td-p/3350294,1
How to connect VG350 with CUBE 4431,03-16-2018,137,6,0,https://supportforums.cisco.com//t5/ip-telephony/how-to-connect-vg350-with-cube-4431/td-p/3350171,0
UCCX 105 Voip Monitor Subsystem in Par,01-25-2016,4055,13,20,https://supportforums.cisco.com//t5/ip-telephony/uccx-10-5-voip-monitor-subsystem-in-partial-service-or-oos/td-p/2788651,0
Can I connect 400 analog phones with AT,03-14-2018,153,8,0,https://supportforums.cisco.com//t5/ip-telephony/can-i-connect-400-analog-phones-with-ata-in-cucm/td-p/3348949,0
QoS Configuration on 3850,03-16-2018,255,6,5,https://supportforums.cisco.com//t5/ip-telephony/qos-configuration-on-3850/td-p/3349946,0
Cisco Unity Connection busy message,02-08-2012,800,6,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-unity-connection-busy-message/td-p/1838360,1
Max number of calls on a translation pa,03-16-2018,109,2,0,https://supportforums.cisco.com//t5/ip-telephony/max-number-of-calls-on-a-translation-pattern/td-p/3349929,0
DSP not working,03-16-2018,161,4,0,https://supportforums.cisco.com//t5/ip-telephony/dsp-not-working/td-p/3349963,0
Route pattern on cucm 10,03-15-2018,141,3,0,https://supportforums.cisco.com//t5/ip-telephony/route-pattern-on-cucm-10/td-p/3349668,0
Play Announcement if outgoing number is,03-16-2018,165,13,15,https://supportforums.cisco.com//t5/ip-telephony/play-announcement-if-outgoing-number-is-invalid-via-sip/td-p/3349815,0
CME SIp Registration issue on 7821 Pho,03-15-2018,156,2,0,https://supportforums.cisco.com//t5/ip-telephony/cme-sip-registration-issue-on-7821-phone-displays-reg-send/td-p/3349543,0
Extension ABCD is displaying as WXYZ,03-14-2018,194,19,20,https://supportforums.cisco.com//t5/ip-telephony/extension-abcd-is-displaying-as-wxyz/td-p/3348408,1
dot1x mda,03-05-2015,95,2,0,https://supportforums.cisco.com//t5/ip-telephony/dot1x-mda/td-p/2633773,0
Daisy Chaining 8831 or 7000 speaker pho,02-23-2016,117,2,0,https://supportforums.cisco.com//t5/ip-telephony/daisy-chaining-8831-or-7000-speaker-phones/td-p/2895055,0
CallManager CMC Passcode questions,03-17-2015,90,1,0,https://supportforums.cisco.com//t5/ip-telephony/callmanager-cmc-passcode-questions/td-p/2651904,0
IP TELEPHONY with ISR4431 license issu,03-16-2018,171,4,5,https://supportforums.cisco.com//t5/ip-telephony/ip-telephony-with-isr4431-license-issue/td-p/3349782,1
connecting to remote sites together,01-07-2015,109,1,0,https://supportforums.cisco.com//t5/ip-telephony/connecting-to-remote-sites-together/td-p/2562101,1
unity password change alert,03-23-2015,78,0,0,https://supportforums.cisco.com//t5/ip-telephony/unity-password-change-alert/td-p/2629910,0
When will Tidal support Business Object,05-24-2015,84,0,0,https://supportforums.cisco.com//t5/ip-telephony/when-will-tidal-support-business-objects-text-only-format-for/td-p/2694733,0
monitor eventtrace arp command,06-18-2015,124,0,0,https://supportforums.cisco.com//t5/ip-telephony/monitor-event-trace-arp-command/td-p/2680645,0
Microphone doesnt work with IP Commun,07-07-2015,159,0,0,https://supportforums.cisco.com//t5/ip-telephony/microphone-doesn-t-work-with-ip-communicator/td-p/2686047,0
Rhonda,08-13-2015,86,0,0,https://supportforums.cisco.com//t5/ip-telephony/rhonda/td-p/2757582,0
How do I change the display name on the,11-15-2017,1319,0,0,https://supportforums.cisco.com//t5/ip-telephony/how-do-i-change-the-display-name-on-the-cisco-ip-phone-spa508g/td-p/3217072,0
Is the Cisco MeetingPlace 86 supported,03-15-2018,103,1,0,https://supportforums.cisco.com//t5/ip-telephony/is-the-cisco-meetingplace-8-6-supported-multi-cluster-cucm/td-p/3349634,0
CUCM Translation pattern did not work o,03-08-2018,291,5,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-translation-pattern-did-not-work-on-the-anonymous-calling/td-p/3345338,1
agent on vpn not able to see other agen,03-15-2018,88,1,0,https://supportforums.cisco.com//t5/ip-telephony/agent-on-vpn-not-able-to-see-other-agents-in-csd/td-p/3349406,0
UC Systems Health Report,03-15-2018,112,1,0,https://supportforums.cisco.com//t5/ip-telephony/uc-systems-health-report/td-p/3349577,0
Call Manager Group  Find out reason w,03-15-2018,152,2,5,https://supportforums.cisco.com//t5/ip-telephony/call-manager-group-find-out-reason-why-devices-switch/td-p/3349480,1
Sipt Trunk to SKYPE,10-09-2017,241,8,0,https://supportforums.cisco.com//t5/ip-telephony/sipt-trunk-to-skype/td-p/3195909,0
SIP Internal Error,03-15-2018,250,5,0,https://supportforums.cisco.com//t5/ip-telephony/sip-internal-error/td-p/3349257,0
Plantronics USB EHS with Cisco DX80,12-20-2017,339,1,0,https://supportforums.cisco.com//t5/ip-telephony/plantronics-usb-ehs-with-cisco-dx80/td-p/3299606,0
Incoming Calls Redundancy,03-15-2018,93,5,0,https://supportforums.cisco.com//t5/ip-telephony/incoming-calls-redundancy/td-p/3349066,0
Cisco ISR 4321 cannot download MGCP XML,12-08-2015,1488,10,59,https://supportforums.cisco.com//t5/ip-telephony/cisco-isr-4321-cannot-download-mgcp-xml-configuration-files/td-p/2819521,1
CUBE doesnt reply SIP option to Skype ,03-15-2018,185,0,0,https://supportforums.cisco.com//t5/ip-telephony/cube-doesn-t-reply-sip-option-to-skype-for-business-server/td-p/3349190,0
SIPUA failed to register to SIP provid,03-09-2018,297,11,0,https://supportforums.cisco.com//t5/ip-telephony/sip-ua-failed-to-register-to-sip-provider/td-p/3345909,0
FXO outbound failed  busy tone,03-14-2018,115,2,0,https://supportforums.cisco.com//t5/ip-telephony/fxo-outbound-failed-busy-tone/td-p/3348903,0
WiFi IP phones compatible with CCNPCC,12-17-2013,451,0,0,https://supportforums.cisco.com//t5/ip-telephony/wi-fi-ip-phones-compatible-with-ccnp-ccie-voice-topology/td-p/2377249,0
AnyConnect and RNDIS device,12-20-2017,395,1,0,https://supportforums.cisco.com//t5/ip-telephony/anyconnect-and-rndis-device/td-p/3299588,0
Network and VoIP Hardware for sale,12-26-2013,663,2,4,https://supportforums.cisco.com//t5/ip-telephony/network-and-voip-hardware-for-sale/td-p/2352838,0
cannot set phone recording on deivce li,03-15-2018,64,1,0,https://supportforums.cisco.com//t5/ip-telephony/cannot-set-phone-recording-on-deivce-line/td-p/3349047,0
Avaya to Cisco Migration,06-11-2016,126,2,0,https://supportforums.cisco.com//t5/ip-telephony/avaya-to-cisco-migration/td-p/2908719,0
missed calls log on phones displaying t,11-24-2014,106,1,0,https://supportforums.cisco.com//t5/ip-telephony/missed-calls-log-on-phones-displaying-too-many-prefixes-prevent/td-p/2600238,0
VoIP and Network Gear for Sale  practi,04-04-2014,123,2,0,https://supportforums.cisco.com//t5/ip-telephony/voip-and-network-gear-for-sale-practically-giving-it-all-away/td-p/2432005,0
Meet Me Bridge Capacity,03-11-2015,109,1,0,https://supportforums.cisco.com//t5/ip-telephony/meet-me-bridge-capacity/td-p/2618296,0
Cisco 7811 XML 4 Parse error,03-06-2018,431,51,35,https://supportforums.cisco.com//t5/ip-telephony/cisco-7811-xml-4-parse-error/td-p/3343095,1
Unable to assign presence users  Serve,03-15-2018,237,3,0,https://supportforums.cisco.com//t5/ip-telephony/unable-to-assign-presence-users-server-not-in-valid-state/td-p/3349033,1
Catalyst 4507RE,10-22-2014,135,1,0,https://supportforums.cisco.com//t5/ip-telephony/catalyst-4507r-e/td-p/2611949,0
CCM Command is not recognized Trying t,03-23-2016,172,4,0,https://supportforums.cisco.com//t5/ip-telephony/ccm-command-is-not-recognized-trying-to-activate-a-mgcp-voice/td-p/2900306,0
Cisco IP Communicator disconnecting iss,03-11-2018,218,11,10,https://supportforums.cisco.com//t5/ip-telephony/cisco-ip-communicator-disconnecting-issue-after-undocking/td-p/3346406,0
SIP Intercom,06-02-2016,112,0,0,https://supportforums.cisco.com//t5/ip-telephony/sip-intercom/td-p/2863944,0
CUCM CFNA one way audio issue,03-14-2018,121,3,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-cfna-one-way-audio-issue/td-p/3348156,0
Call forwarding to an outside line,07-21-2016,105,1,0,https://supportforums.cisco.com//t5/ip-telephony/call-forwarding-to-an-outside-line/td-p/2953406,0
PPTP russian connect after Lan Ip,08-04-2016,97,0,0,https://supportforums.cisco.com//t5/ip-telephony/pptp-russian-connect-after-lan-ip/td-p/2937997,0
Unknown carrier for On Hold Music,08-17-2016,69,1,0,https://supportforums.cisco.com//t5/ip-telephony/unknown-carrier-for-on-hold-music/td-p/2996577,0
callback Softkey For 6921,03-13-2018,115,6,0,https://supportforums.cisco.com//t5/ip-telephony/callback-softkey-for-6921/td-p/3347409,0
Installation of Cisco Jabber Phone Mod,03-14-2018,158,0,0,https://supportforums.cisco.com//t5/ip-telephony/installation-of-cisco-jabber-phone-mode-only-on-cucm-9-1-2/td-p/3348891,0
VOIP design for hospital,03-13-2018,143,3,0,https://supportforums.cisco.com//t5/ip-telephony/voip-design-for-hospital/td-p/3348130,0
Does CUCM 862 support CULWLC License,03-13-2018,73,1,0,https://supportforums.cisco.com//t5/ip-telephony/does-cucm-8-6-2-support-cul-wlc-licenses/td-p/3347889,0
Adding new phone to CUCM,02-14-2018,226,2,0,https://supportforums.cisco.com//t5/ip-telephony/adding-new-phone-to-cucm/td-p/3331174,1
SIP Trunk Outbound Caller ID,03-13-2018,114,7,5,https://supportforums.cisco.com//t5/ip-telephony/sip-trunk-outbound-caller-id/td-p/3347895,0
How to enable and use Feature Access Co,03-06-2018,183,3,5,https://supportforums.cisco.com//t5/ip-telephony/how-to-enable-and-use-feature-access-code-fac-in-cme-cisco-sip/td-p/3343487,1
7821 phones registering and un register,06-29-2015,1261,15,0,https://supportforums.cisco.com//t5/ip-telephony/7821-phones-registering-and-un-registering-intermittently/td-p/2694583,0
SIP SRST wont fallback to CUCM once co,02-12-2018,302,12,5,https://supportforums.cisco.com//t5/ip-telephony/sip-srst-won-t-fallback-to-cucm-once-connectivity-restores/td-p/3329526,1
Caller Name Display on CUCME Phone,03-14-2018,129,8,0,https://supportforums.cisco.com//t5/ip-telephony/caller-name-display-on-cucme-phone/td-p/3348241,0
Auto Attendant in CME,03-08-2018,389,24,0,https://supportforums.cisco.com//t5/ip-telephony/auto-attendant-in-cme/td-p/3344639,0
Call Recording Using CUBE Media Forking,01-29-2018,465,6,10,https://supportforums.cisco.com//t5/ip-telephony/call-recording-using-cube-media-forking/td-p/3321025,1
Cisco IP Communicator 8661 ES,01-25-2018,805,3,15,https://supportforums.cisco.com//t5/ip-telephony/cisco-ip-communicator-8-6-6-1-es/td-p/3318739,0
Stuck  Inactive calls consuming DSP ,10-05-2017,471,4,0,https://supportforums.cisco.com//t5/ip-telephony/stuck-inactive-calls-consuming-dsp-resources-on-cube-router/td-p/3194524,1
Turning on packet count figures for acc,12-10-2015,89,2,0,https://supportforums.cisco.com//t5/ip-telephony/turning-on-packet-count-figures-for-access-lists-used-in-class/td-p/2831753,0
IP address error,08-11-2015,85,1,0,https://supportforums.cisco.com//t5/ip-telephony/ip-address-error/td-p/2746324,0
how to reset 3911 to factory default,02-08-2011,1734,6,0,https://supportforums.cisco.com//t5/ip-telephony/how-to-reset-3911-to-factory-default/td-p/1653377,0
VoiceMail Full,08-28-2015,104,1,0,https://supportforums.cisco.com//t5/ip-telephony/voicemail-full/td-p/2732809,0
Hooking up Cisco IP Phone 7942 to a Lin,09-01-2015,817,6,0,https://supportforums.cisco.com//t5/ip-telephony/hooking-up-cisco-ip-phone-7942-to-a-linksys-router/td-p/2747813,0
SPA 112 configured to works as an ATA w,09-22-2015,101,1,0,https://supportforums.cisco.com//t5/ip-telephony/spa-112-configured-to-works-as-an-ata-with-a-draytek-2820ippx/td-p/2748392,0
Cant access Cisco Catalyst 2960S 24PS,08-19-2016,114,2,0,https://supportforums.cisco.com//t5/ip-telephony/can-t-access-cisco-catalyst-2960-s-24ps-l-console-interface/td-p/3003262,0
Line Group Issues,03-13-2018,107,7,0,https://supportforums.cisco.com//t5/ip-telephony/line-group-issues/td-p/3347745,0
Oneway audio after call is put on hold,07-23-2014,7439,16,63,https://supportforums.cisco.com//t5/ip-telephony/one-way-audio-after-call-is-put-on-hold/td-p/2545991,1
purpose of blue identification LED,06-23-2015,80,2,5,https://supportforums.cisco.com//t5/ip-telephony/purpose-of-blue-identification-led/td-p/2706455,0
CuLicSvr process thread count keeps on ,06-23-2016,98,0,0,https://supportforums.cisco.com//t5/ip-telephony/culicsvr-process-thread-count-keeps-on-incrementing-bug/td-p/2893000,0
Cant access Cisco Catalyst 2960S 24PS,08-19-2016,85,1,0,https://supportforums.cisco.com//t5/ip-telephony/can-t-access-cisco-catalyst-2960-s-24ps-l-console-interface/td-p/3003275,0
IPCommunicator,09-30-2016,66,1,0,https://supportforums.cisco.com//t5/ip-telephony/ipcommunicator/td-p/2957078,0
Cannot delete voicemail from inbox,04-16-2013,7512,8,5,https://supportforums.cisco.com//t5/ip-telephony/cannot-delete-voicemail-from-inbox/td-p/2147879,0
How do I know if default MoH CUCM115 i,05-05-2017,220,6,5,https://supportforums.cisco.com//t5/ip-telephony/how-do-i-know-if-default-moh-cucm11-5-is-royalty-free/td-p/3043946,1
CP7970G firmware cant find on download,08-05-2017,906,8,30,https://supportforums.cisco.com//t5/ip-telephony/cp7970g-firmware-can-t-find-on-download-page/td-p/3087565,0
Called Name Display problem when placin,09-05-2010,2181,3,0,https://supportforums.cisco.com//t5/ip-telephony/called-name-display-problem-when-placing-sip-to-sip-calls/td-p/1546080,0
Need to recovery after a crashed firmwa,01-30-2018,193,1,0,https://supportforums.cisco.com//t5/ip-telephony/need-to-recovery-after-a-crashed-firmware-update/td-p/3321479,0
Query  Cisco User Group Lille France,02-15-2018,116,0,0,https://supportforums.cisco.com//t5/ip-telephony/query-cisco-user-group-lille-france/td-p/3331644,0
CUCM time of day routing,03-13-2018,213,7,10,https://supportforums.cisco.com//t5/ip-telephony/cucm-time-of-day-routing/td-p/3347941,1
FXS Configuration on MGCP CUBE and CUCM,03-13-2018,91,1,0,https://supportforums.cisco.com//t5/ip-telephony/fxs-configuration-on-mgcp-cube-and-cucm-10-5/td-p/3348043,0
MGCP controlled VG350 Configuration Exa,03-13-2018,140,1,0,https://supportforums.cisco.com//t5/ip-telephony/mgcp-controlled-vg350-configuration-example-cli-and-cucm-10-5/td-p/3348045,0
transfer call disconnect issue,03-07-2018,260,10,0,https://supportforums.cisco.com//t5/ip-telephony/transfer-call-disconnect-issue/td-p/3344530,0
The use of Polycom endpoints on CUCM 11,08-29-2016,126,1,0,https://supportforums.cisco.com//t5/ip-telephony/the-use-of-polycom-endpoints-on-cucm-11-x/td-p/2970376,0
SIP20 488 Not Acceptable Media g729br,03-13-2018,224,3,5,https://supportforums.cisco.com//t5/ip-telephony/sip-2-0-488-not-acceptable-media-g729br8/td-p/3347721,1
CUCM configuration assistance,02-14-2018,407,28,35,https://supportforums.cisco.com//t5/ip-telephony/cucm-configuration-assistance/td-p/3330704,0
Getting a 446 response back from SQL de,03-13-2018,107,2,0,https://supportforums.cisco.com//t5/ip-telephony/getting-a-446-response-back-from-sql-delete/td-p/3347854,1
CUCM 1052  Calls internal and extern,03-12-2018,146,6,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-10-5-2-calls-internal-and-external-stay-mute-for-any/td-p/3347087,0
Prevent User Delete Voicemails Unity,01-13-2012,298,3,0,https://supportforums.cisco.com//t5/ip-telephony/prevent-user-delete-voicemails-unity/td-p/1849845,0
Cannot add Cisco 8865 to CUCM 911200,03-13-2018,144,10,0,https://supportforums.cisco.com//t5/ip-telephony/cannot-add-cisco-8865-to-cucm-9-1-1-20000-5/td-p/3347433,0
Cisco 7861 Display,02-24-2016,151,1,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-7861-display/td-p/2901757,0
H264 Video Codec Issue,04-26-2017,228,4,4,https://supportforums.cisco.com//t5/ip-telephony/h-264-video-codec-issue/td-p/3006485,0
Limiting Expressway MRA access for Jabb,07-08-2016,887,8,5,https://supportforums.cisco.com//t5/ip-telephony/limiting-expressway-mra-access-for-jabber/td-p/2909733,0
Link for call forward,04-11-2017,91,1,0,https://supportforums.cisco.com//t5/ip-telephony/link-for-call-forward/td-p/3020518,0
Directories disappear,02-01-2017,123,2,0,https://supportforums.cisco.com//t5/ip-telephony/directories-disappear/td-p/3011525,0
CUCM weird calls,03-07-2018,177,6,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-weird-calls/td-p/3344130,0
How do I disable SIPALG in my router o,04-03-2017,1922,2,0,https://supportforums.cisco.com//t5/ip-telephony/how-do-i-disable-sip-alg-in-my-router-or-firewall/td-p/3062500,0
cucm encryption issue on 1000 phone co,12-09-2017,368,4,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-encryption-issue-on-1000-phone-count/td-p/3229550,0
External Call Forwarding,03-13-2018,106,3,0,https://supportforums.cisco.com//t5/ip-telephony/external-call-forwarding/td-p/3347405,0
XML Path 4 error,03-13-2018,166,0,0,https://supportforums.cisco.com//t5/ip-telephony/xml-path-4-error/td-p/3347420,0
Cisco IP Communicator 702 gray screen,10-20-2016,91,0,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-ip-communicator-7-0-2-gray-screen-on-startup/td-p/2968837,0
Battery lifetime and recharge cycle of ,11-09-2016,90,0,0,https://supportforums.cisco.com//t5/ip-telephony/battery-lifetime-and-recharge-cycle-of-a-cisco-7925-battery/td-p/2969455,0
CP8831 IP phone upgrade firmware to 91,01-10-2017,80,1,0,https://supportforums.cisco.com//t5/ip-telephony/cp8831-ip-phone-upgrade-firmware-to-9-1/td-p/2978041,0
