Post,Date,Views,Replies,Upvotes,Link,Resolved
HELP Can´t configure NAT from ipv4 to,02-10-2018,180,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/help-can-t-configure-nat-from-ipv4-to-ipv6-and-dmz-on-a-router/td-p/3328710,0
NAT Default Max Entries Error,07-31-2016,524,1,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/nat-default-max-entries-error/td-p/2996540,0
QOS seeing dscp 3 packets in default cl,02-09-2018,186,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/qos-seeing-dscp-3-packets-in-default-class-when-a-class-map-in/td-p/3328562,0
PoE on C891FK9 not working,02-10-2018,253,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/poe-on-c891f-k9-not-working/td-p/3328644,0
EIGRP unequal load balancing,02-09-2018,151,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/eigrp-unequal-load-balancing/td-p/3328501,0
Questions regarding iBGP full mesh,07-23-2017,184,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/questions-regarding-ibgp-full-mesh/td-p/3098447,0
show eigrp topology alllinks in PT,02-08-2018,204,4,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/show-eigrp-topology-all-links-in-pt/td-p/3327817,0
ACL allowing udp 53 not allowing it,02-09-2018,274,4,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/acl-allowing-udp-53-not-allowing-it/td-p/3328474,1
Cisco 2951 QOS HQF,02-09-2018,147,1,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-2951-qos-hqf/td-p/3328449,1
Migrating from a 2911 router to a ISR 4,02-09-2018,177,6,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/migrating-from-a-2911-router-to-a-isr-4331/td-p/3328402,0
Distance eigrp 90 90 WS6500 VSS,02-09-2018,111,1,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/distance-eigrp-90-90-ws-6500-vss/td-p/3328406,0
Advertising interface routes,02-09-2018,126,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/advertising-interface-routes/td-p/3328348,0
Configuring routing to switch between E,02-08-2018,162,7,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/configuring-routing-to-switch-between-eigrp-and-static/td-p/3327683,1
Cisco ASR1000  SNMP traps for temperat,02-07-2018,189,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-asr1000-snmp-traps-for-temperature/td-p/3327289,1
Nexus 5500 Route Leaking  Maximum Rout,02-09-2018,146,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/nexus-5500-route-leaking-maximum-route-limit/td-p/3328249,0
How to allow users access to some websi,01-19-2018,209,5,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/how-to-allow-users-access-to-some-websites/td-p/3314599,0
Cisco 3750 Catalyst Switch RateLimit p,02-07-2018,194,15,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-3750-catalyst-switch-rate-limit-problem/td-p/3326494,0
How to publish web server on multiple I,02-08-2018,188,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/how-to-publish-web-server-on-multiple-isp-but-with-single-ip/td-p/3328056,1
ASA 5505 local interface redundancy,02-08-2018,126,4,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/asa-5505-local-interface-redundancy/td-p/3327511,0
3750X netflow configuration,02-07-2018,200,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/3750x-netflow-configuration/td-p/3327207,0
BGP Address Family ipv4 with VRF Routin,02-08-2018,155,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/bgp-address-family-ipv4-with-vrf-routing-path-details-required/td-p/3327841,0
Unable to get WCCP working on an ISR433,01-23-2018,414,15,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/unable-to-get-wccp-working-on-an-isr4331/td-p/3316982,0
Transfering the technology package lice,02-08-2018,136,3,20,https://supportforums.cisco.com//t5/wan-routing-and-switching/transfering-the-technology-package-licenses-from-old-isr-to-new/td-p/3327743,0
Is it possible in IOS to have two stati,12-15-2011,29661,18,29,https://supportforums.cisco.com//t5/wan-routing-and-switching/is-it-possible-in-ios-to-have-two-static-routes-for-the-same/td-p/1813522,1
Cisco 2901 Terminal Server HWIC16A,01-09-2018,308,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-2901-terminal-server-hwic-16a/td-p/3308467,0
Load Balancing with WCCP,02-07-2018,165,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/load-balancing-with-wccp/td-p/3326560,0
Load Balancing Between 2 Different MPLS,02-01-2018,213,2,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/load-balancing-between-2-different-mpls-carriers/td-p/3323549,0
EtherChannel get down and take to long ,02-06-2018,175,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/etherchannel-get-down-and-take-to-long-time-to-restore-de/td-p/3326002,0
Port forwarding stops working,02-07-2018,150,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/port-forwarding-stops-working/td-p/3327123,0
PBR on Cisco 4500 x cat4500euniversal,02-07-2018,205,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/pbr-on-cisco-4500-x-cat4500e-universalk9-spa-03-06-02-e-152-2-e2/td-p/3326967,1
Help please Cannot ping PCs across ro,02-07-2018,113,4,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/help-please-cannot-ping-pcs-across-routers/td-p/3326657,0
Data Discrepancy Between SNMP traffic a,02-07-2018,80,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/data-discrepancy-between-snmp-traffic-and-sh-int/td-p/3326873,0
4g Router solution to VPN with FTD fire,02-07-2018,88,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/4g-router-solution-to-vpn-with-ftd-firewall-appliances/td-p/3326847,0
Administrative Distance of a Default Ro,10-17-2005,10149,9,16,https://supportforums.cisco.com//t5/wan-routing-and-switching/administrative-distance-of-a-default-route/td-p/419388,0
BGP This may cause traffic loop if no,02-07-2018,155,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/bgp-this-may-cause-traffic-loop-if-not-used-properly-command/td-p/3326766,1
HSRP CCNA RS,02-03-2018,230,5,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/hsrp-ccna-r-amp-s/td-p/3324563,0
ISR 4451 latency,02-06-2018,146,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/isr-4451-latency/td-p/3326209,0
Router Solution for Failover VPN over 2,02-01-2018,136,4,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/router-solution-for-failover-vpn-over-2-isps/td-p/3323163,0
What IP address should be assigned to l,02-05-2018,276,7,20,https://supportforums.cisco.com//t5/wan-routing-and-switching/what-ip-address-should-be-assigned-to-loopback-interface/td-p/3325761,1
Configuring NetFlow,01-12-2018,218,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/configuring-net-flow/td-p/3310665,0
Portsecurity on Cisco CISCO891K9,02-06-2018,239,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/port-security-on-cisco-cisco891-k9/td-p/3326278,1
896 router cannot synchronize for 100Mb,01-13-2018,501,30,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/896-router-cannot-synchronize-for-100mbit/td-p/3310917,0
Do I use 1000BASEBXD or 1000BASEBXU,01-15-2009,5899,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/do-i-use-1000base-bx-d-or-1000base-bx-u/td-p/1206843,0
L2 Bridging over L3 WAN Link or L2 Encr,02-06-2018,84,1,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/l2-bridging-over-l3-wan-link-or-l2-encrypted-svi-for-pseudowire/td-p/3326130,0
load sharing between two ISPs,02-06-2018,138,4,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/load-sharing-between-two-isp-s/td-p/3325862,0
IPSECGETVPN over MPLS,09-15-2017,269,2,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/ipsec-getvpn-over-mpls/td-p/3184956,0
Upgradation of WSC3750X48TE from 12,02-17-2016,71,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/upgradation-of-ws-c3750x-48t-e-from-12-2-55-se5-to-15-0-2-se9/td-p/3101252,0
Cisco ASA with Firepower Services OR Ch,02-06-2018,188,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-asa-with-firepower-services-or-check-point-ngfw/td-p/3325911,0
CAD Drawings,02-02-2018,337,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cad-drawings/td-p/3324360,0
Unable to ssh,03-10-2016,208,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/unable-to-ssh/td-p/3101525,0
Track Command Completely Missing,02-05-2018,97,1,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/track-command-completely-missing/td-p/3325743,0
Simple Failover  Does it exist,02-05-2018,114,1,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/simple-failover-does-it-exist/td-p/3325771,0
License Activation on 4500,09-15-2014,7259,3,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/license-activation-on-4500/td-p/3104521,0
Catalyst 3850 and 4500 compatibility wi,04-25-2016,127,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/catalyst-3850-and-4500-compatibility-with-power-supply-phase/td-p/3102106,0
BGP Loadsharing using HSRP,02-05-2018,114,4,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/bgp-loadsharing-using-hsrp/td-p/3325305,0
L2 over L3 Network again,02-01-2018,202,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/l2-over-l3-network-again/td-p/3323437,0
SG500 SPF 10G UpLink,02-05-2018,144,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/sg500-spf-10g-uplink/td-p/3325592,0
BGP ASN  internalexternal issue,02-02-2018,196,7,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/bgp-asn-internal-external-issue/td-p/3324352,0
Issue SSH,06-03-2009,33873,12,8,https://supportforums.cisco.com//t5/wan-routing-and-switching/issue-ssh/td-p/1205236,0
Interface mtu value vs ip mtu val,02-02-2018,239,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/interface-quot-mtu-lt-value-gt-quot-vs-quot-ip-mtu-lt-value-quot/td-p/3324121,0
Issue with accessing server after NAT,02-03-2018,183,6,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/issue-with-accessing-server-after-nat/td-p/3324635,0
ASR software advisory when is Cisco IO,02-05-2018,170,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/asr-software-advisory-when-is-cisco-ios-xe-denali-16-3-5c/td-p/3325313,0
CISCO C881G4GGAK9  Basic 4G setup,02-05-2018,161,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-c881g-4g-ga-k9-basic-4g-setup/td-p/3325216,0
Force an IP address on the other end,02-04-2018,181,7,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/force-an-ip-address-on-the-other-end/td-p/3324844,0
OSPF configuration,02-04-2018,226,2,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/ospf-configuration/td-p/3324897,1
NCS 5000 Clarification,02-04-2018,157,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/ncs-5000-clarification/td-p/3324806,0
routemap object tracking,09-02-2015,1364,5,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/route-map-object-tracking/td-p/2753374,0
EIGRP metric calculation,02-02-2018,592,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/eigrp-metric-calculation/td-p/3324323,0
Cisc ASA 5505 Remote WAN IP Change,12-07-2010,3652,8,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisc-asa-5505-remote-wan-ip-change/td-p/1518435,1
Summarization difference between ospf N,02-03-2018,146,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/summarization-difference-between-ospf-ngo-eig/td-p/3324504,0
Wan without bgp,02-03-2018,138,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/wan-without-bgp/td-p/3324505,0
Alternative load balancer,02-03-2018,139,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/alternative-load-balancer/td-p/3324503,0
project 454,02-02-2018,110,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/project-454/td-p/3324362,0
How should I interprete the rfc 3509 AB,02-02-2018,158,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/how-should-i-interprete-the-rfc-3509-abr-type-cisco/td-p/3324427,0
Multi Wan SiteToSite VPN to ASA,02-02-2018,147,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/multi-wan-site-to-site-vpn-to-asa/td-p/3324355,0
ACL on Cisco 6509 core switch,02-02-2018,242,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/acl-on-cisco-6509-core-switch/td-p/3324180,1
How can I make a PTL file for Packet T,02-01-2018,283,6,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/how-can-i-make-a-ptl-file-for-packet-tracer-to-change-default/td-p/3323808,0
IOS ipsec VPN authenticates but client ,02-01-2018,157,6,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/ios-ipsec-vpn-authenticates-but-client-receives-0-bytes/td-p/3323565,0
Analog Security Screen features in CISC,02-02-2018,95,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/analog-security-screen-features-in-cisco-isr-4xxx/td-p/3324071,0
Installing Cisco Configuration Professi,03-21-2013,528,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/installing-cisco-configuration-professional/td-p/2154691,0
Does upgrading from IP base to IP servi,02-02-2018,113,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/does-upgrading-from-ip-base-to-ip-services-for-3850-requires/td-p/3323984,0
ISIS route flapping,02-01-2018,334,3,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/is-is-route-flapping/td-p/3323894,1
Single interface to multiple vlans,01-31-2018,165,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/single-interface-to-multiple-vlans/td-p/3322292,0
CISCO ISR 4321 Bill of Materials,02-01-2018,434,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-isr-4321-bill-of-materials/td-p/3323854,0
EVN Configs for L2 Access,10-03-2017,121,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/evn-configs-for-l2-access/td-p/3192935,0
ASR920 licensing,12-20-2017,146,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/asr920-licensing/td-p/3299358,0
SPAN  RSPAN,01-06-2018,106,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/span-amp-rspan/td-p/3307118,0
BGP Multihoming with 2 ISPs and 2 Rout,01-31-2018,558,11,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/bgp-multihoming-with-2-isps-and-2-routers-with-a-24-provider/td-p/3322962,0
IP SLA  Suggestions,01-31-2018,250,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/ip-sla-suggestions/td-p/3322747,1
ASR 1001 Series router unable to copy f,09-30-2012,6750,11,25,https://supportforums.cisco.com//t5/wan-routing-and-switching/asr-1001-series-router-unable-to-copy-from-tftp-server/td-p/2051814,0
Need A bit of Help with BGP,01-31-2018,241,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/need-a-bit-of-help-with-bgp/td-p/3323028,1
WAN aggregation switch recommendation,01-30-2018,156,4,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/wan-aggregation-switch-recommendation/td-p/3322079,0
Block DMVPN Phase 1 spoketospoke traf,01-26-2018,362,5,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/block-dmvpn-phase-1-spoke-to-spoke-traffic-all-spokes-receive/td-p/3320073,0
EIGRP Topology table,01-31-2018,258,2,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/eigrp-topology-table/td-p/3322785,1
cisco 1800 and Problem with my failover,01-31-2018,121,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-1800-and-problem-with-my-failover/td-p/3322904,0
Setting up 3945 boot system file,08-15-2014,1561,7,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/setting-up-3945-boot-system-file/td-p/2529974,1
NAT over iBGP,01-31-2018,107,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/nat-over-ibgp/td-p/3322719,0
Ipsec sitetosite with GRE not work,01-30-2018,357,10,15,https://supportforums.cisco.com//t5/wan-routing-and-switching/ipsec-site-to-site-with-gre-not-work/td-p/3321906,1
nat on loopback,01-29-2018,431,15,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/nat-on-loopback/td-p/3320810,0
iBGP with HSRP issue,01-31-2018,148,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/ibgp-with-hsrp-issue/td-p/3322539,0
WAN NETWORK DESIGN BEST PRACTICES,01-29-2018,486,2,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/wan-network-design-best-practices/td-p/3321339,1
Ask the Expert Implementing EIGRP on I,01-22-2018,3713,4,25,https://supportforums.cisco.com//t5/wan-routing-and-switching/ask-the-expert-implementing-eigrp-on-ipv6/td-p/3316244,0
Forward range ports for few hosts in IS,01-23-2018,727,11,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/forward-range-ports-for-few-hosts-in-isr4331/td-p/3316899,1
PFR question,01-31-2018,102,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/pfr-question/td-p/3322386,0
Netflow  sh ip cache flow empty sh ip,01-31-2018,129,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/netflow-sh-ip-cache-flow-empty-sh-ip-flow-interface-empty/td-p/3322294,0
Who can tell me which cisco product sup,01-28-2018,188,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/who-can-tell-me-which-cisco-product-support-dlsw-now/td-p/3320629,0
BGP with Multiple ISP not functioning,01-26-2018,439,19,40,https://supportforums.cisco.com//t5/wan-routing-and-switching/bgp-with-multiple-isp-not-functioning/td-p/3319761,1
USB Console Driver install failing,05-07-2012,70013,48,240,https://supportforums.cisco.com//t5/wan-routing-and-switching/usb-console-driver-install-failing/td-p/1943982,0
restrict VTY access on switch,01-30-2018,279,6,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/restrict-vty-access-on-switch/td-p/3321680,1
GRE Issues,01-30-2018,121,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/gre-issues/td-p/3321531,0
CEF cause slow youtube on smartphones,01-22-2018,711,13,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cef-cause-slow-youtube-on-smartphones/td-p/3315984,0
Cisco 899 4G module data roaming,01-29-2018,120,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-899-4g-module-data-roaming/td-p/3321448,0
Netflow Results,01-29-2018,108,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/netflow-results/td-p/3321156,0
IP Routing 3850 12s2,01-26-2018,258,8,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/ip-routing-3850-12s-2/td-p/3320089,0
2nd IP address for outbound internet on,01-29-2018,134,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/2nd-ip-address-for-outbound-internet-on-asa/td-p/3321273,0
Uses for RIPng,01-28-2018,226,5,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/uses-for-ripng/td-p/3320528,0
Cisco switch 385048P SYS2INPUTQ IN,01-29-2018,251,5,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-switch-3850-48p-sys-2-inputq-inputq-set-but-no-idb-ptr/td-p/3320929,1
Cisco RV325 NAT Hairpinning and Firewal,01-29-2018,147,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-rv325-nat-hairpinning-and-firewall/td-p/3320917,0
BGP Hijacking,01-28-2018,301,9,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/bgp-hijacking/td-p/3320555,0
4500X VSL issue,01-28-2018,362,29,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/4500x-vsl-issue/td-p/3320439,0
Getting an error on Cisco Router 881 ,01-28-2018,150,4,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/getting-an-error-on-cisco-router-881-readonly/td-p/3320423,0
OTV Multihomed Issue,01-28-2018,289,6,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/otv-multihomed-issue/td-p/3320378,0
Etherchannel Interfaces in suspend mode,09-05-2011,82521,13,25,https://supportforums.cisco.com//t5/wan-routing-and-switching/etherchannel-interfaces-in-suspend-mode/td-p/1741835,1
Trouble getting 3825 to NATPAT with L2,01-25-2018,303,6,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/trouble-getting-3825-to-nat-pat-with-l2-l3-switch/td-p/3319215,1
DSL learning  ATM0 ATM01 Dialer1 and,01-26-2018,236,1,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/dsl-learning-atm0-atm0-1-dialer1-and-virtual-access-interfaces/td-p/3320067,0
Dialer 1  Vi interfaces high tx and rx,01-26-2018,215,2,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/dialer-1-vi-interfaces-high-tx-and-rx-load/td-p/3320021,0
Delay problem on EIGRP,01-25-2018,222,6,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/delay-problem-on-eigrp/td-p/3319153,0
MAC Flapping 4506 EIGRP  VPLS,01-26-2018,221,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/mac-flapping-4506-eigrp-amp-vpls/td-p/3319911,0
GETVPN Questions,06-13-2014,391,12,15,https://supportforums.cisco.com//t5/wan-routing-and-switching/getvpn-questions/td-p/2494893,0
IBGP routing issue,01-26-2018,173,5,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/ibgp-routing-issue/td-p/3319472,0
OTV and a Layer 2 Link ,01-25-2018,197,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/otv-and-a-layer-2-link/td-p/3318920,0
Static routes not working,01-25-2018,431,5,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/static-routes-not-working/td-p/3319156,1
How to enabled audit log,04-10-2013,2511,8,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/how-to-enabled-audit-log/td-p/2172707,0
ISR 4431 SecurityK9 License,01-04-2018,701,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/isr-4431-securityk9-license/td-p/3306187,1
NAT  Cisco 3750,04-15-2007,1130,7,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/nat-cisco-3750/td-p/737851,0
Multiple MultiHomed Site BGP Implement,01-24-2018,413,6,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/multiple-multi-homed-site-bgp-implementation-with-same-asn-and/td-p/3318037,0
RIP v2 and OSPF Redistribution Problem,01-24-2018,880,7,10,https://supportforums.cisco.com//t5/wan-routing-and-switching/rip-v2-and-ospf-redistribution-problem/td-p/3318091,1
How to configure the WAN port to a LAN ,12-03-2017,688,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/how-to-configure-the-wan-port-to-a-lan-port/td-p/3226091,0
Adding T1 Card to Existing Setup,01-25-2018,146,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/adding-t1-card-to-existing-setup/td-p/3318621,0
BGP not advertising MED on a null route,01-25-2018,298,8,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/bgp-not-advertising-med-on-a-null-route/td-p/3318534,1
PPP HDLC leased line and packet switch,10-15-2012,2563,4,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/ppp-hdlc-leased-line-and-packet-switching/td-p/2040994,1
Question about load sharing 3 isp,01-23-2018,212,7,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/question-about-load-sharing-3-isp/td-p/3317422,0
odd mtu behavior on qinq subinterface,01-25-2018,221,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/odd-mtu-behavior-on-qinq-sub-interface/td-p/3318489,1
NATing Branch Sites LAN subnets to som,01-18-2018,448,9,15,https://supportforums.cisco.com//t5/wan-routing-and-switching/nating-branch-site-s-lan-subnets-to-something-else-when-received/td-p/3313861,1
BGP Route Reflector With Two ISPs,01-22-2018,260,8,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/bgp-route-reflector-with-two-isps/td-p/3315772,0
VRRP Virtual IP ping packet loss,01-25-2018,327,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/vrrp-virtual-ip-ping-packet-loss/td-p/3318378,0
Cisco IWAN or Meraki,01-25-2018,201,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-iwan-or-meraki/td-p/3318373,0
Problem IOS update nexus N5KC5548UP,01-15-2018,285,9,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/problem-ios-update-nexus-n5k-c5548up/td-p/3311560,0
SSH V3,05-31-2016,782,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/ssh-v3/td-p/2852631,0
Metro Ethernet primary backup,01-23-2018,162,7,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/metro-ethernet-primary-backup/td-p/3316670,0
Default Routes with full BGP Routing ta,01-23-2018,392,5,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/default-routes-with-full-bgp-routing-table/td-p/3317209,0
IWAN design pfr between hubs,01-24-2018,233,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/iwan-design-pfr-between-hubs/td-p/3317530,0
Pagent license key,02-19-2014,441,4,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/pagent-license-key/td-p/2425804,0
OSPF Adjacency stuck in EXCHANGEEXSTA,12-29-2017,1747,18,15,https://supportforums.cisco.com//t5/wan-routing-and-switching/ospf-adjacency-stuck-in-exchange-ex-start-states/td-p/3303920,1
RV042 v11 Firmware,08-15-2017,550,4,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/rv042-v1-1-firmware/td-p/3094647,0
BGP extended community for self generat,01-22-2018,372,2,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/bgp-extended-community-for-self-generated-routes-on-a-vrf/td-p/3316060,1
ASR92012SZIM  IPSec NAT and QoS Tra,01-23-2018,207,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/asr920-12sz-im-ipsec-nat-and-qos-traffic-shaping/td-p/3316784,0
Help with a packet loop and static rout,01-22-2018,170,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/help-with-a-packet-loop-and-static-routes-on-packet-tracer-lab/td-p/3316486,0
NAT not working on CISCO 2911 router,01-15-2018,300,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/nat-not-working-on-cisco-2911-router/td-p/3311892,1
2960X Switch DNS Issue,01-22-2018,124,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/2960-x-switch-dns-issue/td-p/3316443,0
Router 1841 does not boot,12-28-2008,1035,3,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/router-1841-does-not-boot/td-p/1102057,1
internal devices are unable to communic,01-22-2018,186,4,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/internal-devices-are-unable-to-communicate-with-outside-network/td-p/3316207,1
Where best to NAT for DMVPN Internet co,01-15-2018,273,1,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/where-best-to-nat-for-dmvpn-internet-connection/td-p/3311299,0
iBGP Path Decision Process,01-22-2018,231,6,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/ibgp-path-decision-process/td-p/3315883,0
ASR 1001x 10GE port license,01-22-2018,506,2,5,https://supportforums.cisco.com//t5/wan-routing-and-switching/asr-1001-x-10ge-port-license/td-p/3316020,1
ISR4431 interface SFP statement,01-22-2018,234,0,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/isr4431-interface-sfp-statement/td-p/3316015,0
Cisco ISR 4331 command Help Help,08-05-2017,453,2,0,https://supportforums.cisco.com//t5/wan-routing-and-switching/cisco-isr-4331-command-help-help/td-p/3087593,0
