Heading,Content,Replies
Enabling Multicast over the WAN with Cisco routers,FolksWe are looking to enable Multicast routing over the WAN At this point of time I do not know where to start with and looking for some inputsWe have multiple offices across the globe and specific to Europe our service provider has mentioned that he can support Multicast streaming on the WAN Now we already have some local Multicast routing going on within an office local to Europe This Multicast stream is sent by a local server and end workstations in the office pick this stream from that serverNow what I am envisioning is using the same local serverwhich sends the Multicast stream to send the stream across the WAN as well Will that be the way going forward Or is there some suggestions on how this design can be deployed ThanksN,It depends on you WAN Generally on dedicated leased lines you can run multicast On some WAN cloud technologies you cannot run multicast natively but you often can via tunnelsOn some WAN cloud technologies you can also run multicast natively if your WAN SP supports it From your post this sounds like your case So contact your WAN SP for additional information for how RVCE When your provider says they support multicast I believe they are talking about mVPN you can check what this is if that interests you but I am mentioning just so you know what it is it sounds like you wont need to worry about thatFor your network it sounds all you will need to do is to enable PIM on your WAN links and make sure all sites have the same RP or use some kind of anycast such as MSDP
ASR1009,ASR1009 support MPLS layer 2 ,Do you mean L2VPN If so yes ASR1K routers are pretty flexible
BGP default route,,Hello my first thought is to simply establish a neighbor on Swindon with Bracknell and use the neighbor xxxx defaultoriginate command RVCE Hi Georg Many Thanks for looking into it and providing the best solution However I apologize for not explaining the Question properly Basically Currently Heathrow is acting as a Head Quarter and rest all are acting as Branches Longterm Goal is to shut down Heathrow and make Swindon as Head Quarter Solution works if there is a single Branch office however there are many Branches and I do not feel to advertise default route individually for every Branch office Hope My query is making more sense now RVCE You cant do what Georg suggests because you do not peer between your sites you peer with your provider PEs unless I have misunderstood what he was suggesting You cant really do this without the help of your provider because basically Bracknell simply sees the PE as the next hop for the default route it is the PE routers that choose the best default route You would need to advertise the default route from Heathrow with a specific community and the one from Swindon with a different community and then your provider would need to choose which default route to advertise to which sites based on the community assuming your provider would do this Alternatively you could create a GRE tunnel directly between Swindon and Bracknell and advertise a default through the tunnel and prefer it over the default via MPLS or simply filter that default route out Sorry but as you do not really control the routing within the MPLS network there is no easy way to do this or at least none that I am aware of Jon RVCE Jon is right my solution would only work in conjunction with a tunnel that would make direct peering possible How is Heathrow announcing the default route  RVCE router bgp 64521no synchronizationbgp logneighborchangesnetwork 10101650 mask 2552552550redistribute connectedredistribute staticneighbor 172232425 remoteas 12345neighbor 172232425 ebgpmultihop 5neighbor 172232425 defaultoriginateno autosummaryR8 RVCE router bgp 64521 no synchronization bgp logneighborchanges network 10101650 mask 2552552550 redistribute connected redistribute static neighbor 172232425 remoteas 12345 neighbor 172232425 ebgpmultihop 5 neighbor 172232425 defaultoriginate no autosummaryR8
Static Routing limits  need a lower cost solution,We recently ordered two 48 port 3650 switches that we stacked We wanted to replace our Force 10 switches that currently do a lot of static routing required because of multiple external private networks we need to route to On reading Cisco documentation we thought the LAN Base would be enough to cover us but now are finding out to do more than 16 Static Routes we need the IP Services license which would cost us over 11000 to cover both switches To us thats insane just to get more static routes we would need around 112 routes due to our unique requirements with overlapping private networks  we wouldnt be using the other services provided with that license Without keeping the Force 10 as our distribution switches  what other options could we look at I was possibly thinking of some sort of router on a stick configuration but are there any cisco routers that would be cost effective and allow that many static routes in dong this,What is your exact model I think LAN BASE wont do it but I am guessing IP Base should do the trick you shouldnt need IP Services but I would like to confirm
PfR ProofofConcept Lap GNS3,Hello All I am currently implementing this PfR solution httpdocwikiciscocomwikiPfR3SolutionsIWAN using Cisco VIRL IOSv 156 in GNS3 I choose to implement EIGRP in place of BGP The DMVPN tunnels are working fine for both MPLS and INET simulation However I am stuck with the PfR implementation The Hub MC and Hub BRs are not communicating with each other and the loopback IPs on them are also not able to ping each other As a result the Hub MC is unable to push policies to other routers How can I fix this issue Do I need to have EIGRP neighbourship with the Hub MC router as well Can anyone please go through the link once and let me know the problem Many thanks Solved Go to Solution,The HUB MC should have connectivity to the HUB BRs and to the branches this is not related to iWAN traffic itself You do not need to use EIGRP just think of this as a regular L3VPN where you keep EIGRPBGP on the WAN connections but you still need to redistribute those routes to your LAN This could be achieved with a default route if you want to but again that connectivity needs to be there RVCE Hello post your GNS3 project file Which part of the linked document are you referring to  RVCE Kindly download the gns project file https000tinyuploadcomindexphpfileid97579340396807441967 was not allowed to upload it Image used is viosadventerprisek9mvmdkSPA1561 I enabled EIGRP on the Hub MC Not in this attached file This is the part where Hub MC has no communication with any other router and it started to work still not getting the right PfR results but at least now able to push policies and connect with the BRs Awaiting your valuable comments thanks RVCE Hello I cannot open the project unfortunately Can you post the relevant configs  RVCE I am using the same configs in the tutorial httpdocwikiciscocomwikiPfR3SolutionsIWAN RVCE It sounds like a routing problem the communication between loopbacks should occur for your iWAN to go up Are you learning routes on your EIGRP if you do a show ip route on your branch BR do you see the IP for the HUB MC in there Would you please send the commands below show ip route HUBsh domain name master statussh domain name border status sh domain name border parentroute Spokesh domain name master status sh domain name border statussh domain name border parentroute RVCE After enabling EIGRP on the Hub MC the iWAN is up now but I am not sure if you have to enable EIGRP on the hub MC as well Below is the output of commands you asked BranchMCBRsh ip route eigrp p 100008 is variably subnetted 5 subnets 4 masksD p 100008 9038405120 via 19216820012 000118 Tunnel2009038405120 via 19216810011 000118 Tunnel100D p 1010016 9038405120 via 19216820012 000118 Tunnel2009038405120 via 19216810011 000118 Tunnel100  HUBMCsh domain IWAN master status  Domain MC Status  Master VRF Global Instance Type HubInstance id 0Operational status UpConfigured status UpLoopback IP Address 101010Global Config Last Publish status Peering SuccessLoad BalancingAdmin Status EnabledOperational Status UpEnterprise top level prefixes configured 1Max Calculated Utilization Variance 0Last load balance attempt neverLast Reason Variance less than 20Total unbalanced bandwidthExternal links 0 Kbps Internet links 0 KbpsExternal Collector 10151195 port 2055Route Control EnabledTransit Site Affinity EnabledLoad Sharing EnabledMitigation mode Aggressive DisabledPolicy threshold variance 20Minimum Mask Length 28Syslog TCA suppress timer 180 secondsTrafficClass Ageout Timer 5 minutesChannel Unreachable Threshold Timer 4 secondsMinimum Packet Loss Calculation Threshold 15 packetsMinimum Bytes Loss Calculation Threshold 1 bytes BordersIP address 101011Version 2Connection status CONNECTED Last Updated 000430 ago Interfaces configuredName Tunnel100  type external  Service Provider MPLS pathid1  Status UP  ZeroSLA NO  Path of Last Resort DisabledNumber of default Channels 0 Tunnel if Tunnel0 IP address 101012Version 2Connection status CONNECTED Last Updated 000428 ago Interfaces configuredName Tunnel200  type external  Service Provider INET pathid2  Status UP  ZeroSLA NO  Path of Last Resort DisabledNumber of default Channels 0 Tunnel if Tunnel0  HubBR1MPLSsh domain IWAN border status Wed Apr 11 190704713  Border Status  Instance Status UPPresent status last updated 000622 agoLoopback Configured Loopback0 UP 101011Master 101010Master version 2Connection Status with Master UPMC connection info CONNECTION SUCCESSFULConnected for 000424External Collector 10151195 port 2055RouteControl EnabledAsymmetric Routing DisabledMinimum Mask length 28Sampling offChannel Unreachable Threshold Timer 4 secondsMinimum Packet Loss Calculation Threshold 15 packetsMinimum Byte Loss Calculation Threshold 1 bytesMonitor cache usage 2000 20 Auto allocatedMinimum Requirement MetExternal Wan interfaces Name Tunnel100 Interface Index 10 SNMP Index 7 SP MPLS pathid 1 Status UP ZeroSLA NO Path of Last Resort Disabled Auto Tunnel information NameTunnel0 ifindex 11 Virtual Template Not Configured Borders reachable via this tunnel 101012  HubBR1MPLSsh domain IWAN border parentrouteBorder Parent Route Details Prot EIGRP Network 10303132 Gateway 19216810031 Interface Tunnel100 Ref count 1  BranchMCBRsh domain IWAN master status  Domain MC Status  Master VRF Global Instance Type Branch Instance id 0 Operational status Up Configured status Up Loopback IP Address 103031 Load Balancing Operational Status Up Max Calculated Utilization Variance 0 Last load balance attempt never Last Reason Variance less than 20 Total unbalanced bandwidth External links 0 Kbps Internet links 0 Kbps External Collector 10151195 port 2055 Route Control Enabled Transit Site Affinity Enabled Load Sharing Enabled Mitigation mode Aggressive Disabled Policy threshold variance 20 Minimum Mask Length 28 Syslog TCA suppress timer 180 seconds TrafficClass Ageout Timer 5 minutes Minimum Packet Loss Calculation Threshold 15 packets Minimum Bytes Loss Calculation Threshold 1 bytes Minimum Requirement Met Borders IP address 103031 Version 2 Connection status CONNECTED Last Updated 000656 ago  Interfaces configured Name Tunnel200  type external  Service Provider INET  Status UP  ZeroSLA NO  Path of Last Resort Disabled Number of default Channels 0 Pathid list 02 Name Tunnel100  type external  Service Provider MPLS  Status UP  ZeroSLA NO  Path of Last Resort Disabled Number of default Channels 0 Pathid list 01 Tunnel if Tunnel0  BranchMCBRsh domain IWAN border status Wed Apr 11 170840831  Border Status  Instance Status UPPresent status last updated 000741 agoLoopback Configured Loopback0 UP 103031Master 103031Master version 2Connection Status with Master UPMC connection info CONNECTION SUCCESSFULConnected for 000716External Collector 10151195 port 2055RouteControl EnabledAsymmetric Routing DisabledMinimum Mask length 28Sampling offChannel Unreachable Threshold Timer 4 secondsMinimum Packet Loss Calculation Threshold 15 packetsMinimum Byte Loss Calculation Threshold 1 bytesMonitor cache usage 2000 20 Auto allocatedMinimum Requirement MetExternal Wan interfaces Name Tunnel200 Interface Index 11 SNMP Index 8 SP INET Status UP ZeroSLA NO Path of Last Resort Disabled Pathid List 02 Name Tunnel100 Interface Index 10 SNMP Index 7 SP MPLS Status UP ZeroSLA NO Path of Last Resort Disabled Pathid List 01 Auto Tunnel information NameTunnel0 ifindex 12 Virtual Template Not Configured Borders reachable via this tunnel  BranchMCBRsh domain IWAN border parentrouteBorder Parent Route Details Prot EIGRP Network 1010016 Gateway 19216820012 Interface Tunnel200 Ref count 1Prot EIGRP Network 1010016 Gateway 19216810011 Interface Tunnel100 Ref count 1Prot NHRP Network 10101032 Gateway 0000 Interface Tunnel200 Ref count 1Prot NHRP Network 10101032 Gateway 0000 Interface Tunnel100 Ref count 1  RVCE The HUB MC should have connectivity to the HUB BRs and to the branches this is not related to iWAN traffic itself You do not need to use EIGRP just think of this as a regular L3VPN where you keep EIGRPBGP on the WAN connections but you still need to redistribute those routes to your LAN This could be achieved with a default route if you want to but again that connectivity needs to be there
BGP connection collision,I have an eBGP peer that will not be established till a reset the peer about 10 times I turned on ths BGP debug switch and I found that a message saidconnection collisionNOTIFICATION is sento to peer xxxxcode 6 ceaseAnd the BGP peer will be in Active state for long time and it will return back to Connect state and stuk in this stateI know the problem of collision is because the both of peers are trying to initiate the connection at the same time and collision will happenSo I want o know how to solve this problem or how to configure the peer to play only passive or active role,HiUse the following command to configure one side as passiveneighbor transport connectionmode passiveHope that helps  pls do rate the post if it doesParesh RVCE I do not think this is collision related It rather looks like a bug that I have come across a while ago What version of code are you running on the IOS side Also the cease code comes with a sub code Can you please let us know what the subcode is Thanks Harold RitterSr Technical LeaderCCIE 4168 RS SPharoldciscocomMéxico móvil 52 1 55 8312 4915Cisco MéxicoPaseo de la Reforma 222Piso 19Cuauhtémoc JuárezCiudad de México 06600México RVCE Hi Harold What is the Bug ID Im seeing the same thing sporadically on a couple of my routers and I want to see if they are affected Im running Code version is 1631a
Adding PAT within a VRF kills vty SSHTelnet,Im managing several devices that are using VRF lite All works fine for VTY access until I add a PAT statement within the VRF Sanitised config as follows Everything worked perfectly until I put in This is not the first time ive seen it but as im using VRF Lite with increasing frequency to manage devices with multiple WAN links id like to fix it This has been on all versions of 151 on 29xx and 39xxs Any advice appreciated,Hello can you try a standard access list instead of an extended  So instead of accesslist 110 permit ip host 4444 any use accesslist 1 permit 4444 0000 RVCE This makes no difference The ACL 110 isnt even seeing its hit counter increment when a telnet or ssh session comes in I tried a regular ACL as well same problem RVCE Hello since this appears to be a lab post the full configs of both sides including they keys and IP addresses so we can lab this Which RSA key modulus are you using 10242048  RVCE This isn’t a lab so I can’t post the full config This is a sanitised version and I cant telnet so ssh won’t make any difference I have many sites with a similar problem all with similar configs RVCE Hello understood Try transport input all on all VTY lines instead of ssh telnet Does it make a difference if you use the true SSH port 443 in your NAT statement  RVCE transport in all does nothing either Im not attempting to static NAT any port that SSH would use not 2223 or 443 but 443 isnt used for ssh 443 is SSLHTTPS default port This happens the second I put any PAT on in the VRF on any device If I remove the PATNAT statement its fine RVCE I agree with my colleague Georg that using a standard access list with accessclass is better than using an extended access list but I doubt that this relates to the problem described in the original post I believe that you can try changing the transport input to all but I doubt that it will change the symptoms When I have done address translation using two outside interfaces I have usually used route maps to control the translations so that you can match on both the interface and the ACL But since the translations are for different address ranges it probably is ok to configure the translation as you are doing I do wonder about the static address translation you are adding Is Georg correct that the 554 is part of the sanitization and that the port is really 443 Can you tell us what address you are attempting SSH or telnet to access HTH Rick RVCE Hi Richardip nat inside source static tcp 192168020 554 1231 554 vrf InVRF extendableIs the statement thats being added that breaks telnet to the router itself or SSH for that matter This router has 3 WAN links in total and routemaps are widely used in production most sites only have 2 WAN links Unfortunately BGP is not an option here so im having to use vrf lite to segregate traffic routemaps are messy and unreliable at times ive found The port is not sanitised its 554 There is no port forwarding for 22 23 or 443 at any of these sites The first thing I checked was this but the fact it kills telnet to the external interface thats referenced in the VRF ruled that out in my head I can confirm that if I dont have the vrfalso statment on the vty acl that it will not permit telnet before I apply the NAT statements so that part is working applying it preNAT statement enables telnetssh to the WAN IP in that VRF Its when I apply the NAT statement that telnetssh to the WAN IP from any host on ACL110 stops working Unfortunately the IP addresses are realworld so I cant publish them but you can ping them fine RVCE Hello sorry my bad with true SSH I meant 22 of course and not 443 Either way what if you configure a loopback interface make that part of the VRF and then use that for telnet  RVCE Thanks GeorgLoopback is not possible as its a 32 point to point I can access the devices by the other WAN IPs that arent in the VRF but I need accessiblity from all interfaces RVCE Thanks for the additional information and for clarifying that the port in the translation statement is not sanitized It is very curious that a static translate for port 554 breaks remote access It suggests that the static translate is operating on more than the stated port That suggests that it may be a bug in the software I am disappointed to see that you have found this behavior in multiple versions of the software But I continue to suspect that it is a software defect If you have a support contract for this equipment I would suggest opening a case with Cisco TAC But to continue the discussion here I would suggest that you enable debug for address translation attempt SSH or telnet and post any debug output HTH Rick RVCE Thanks Rick I cant enable NAT debug on these are theyre heavily utilised I enabled debug for NAT on the VRF but it showed up nothing even when I tried to use the NAT in the VRF that is working Ill collate a list of the IOS versions but they are all 15x mainly 1 and 2 I believe RVCE Hello I recreated your setup in GNS3 both with IOSv 156 and IOS 152 in both cases it works with and without the static NAT So it might as well be as Richard suggested either IOS or platform or a combination of both dependent RVCE What device is at 192168020 Is there any way to determine whether it is receiving attempts to SSH andor telnet when you are attempting to access the router but it is not working It is interesting that ping is successful when the static nat is in place I wonder whether the ping response is generated from the router itself or is perhaps generated from the device at 192168020 HTH Rick
Cisco Router 1921  High ping with default gateway from LAN,Dear All I have a issue on site with communication On branch site i have a 1921 Router which is interconnected with a 2960x Switch Communication between Router and Switch is via sub interface Router on stick So all end device as  PC Camera Printer etc that are connected to the Switch as the default gateway have the router 1921 On Router 1921 are configured sub interface for each vlan that are configuring on the Switch  My issue is i have high ping with high time  and drop pings with default gateway Router when i tried to ping gateway from all PC on LAN  High ping with gateway appearing when i generate any kind of traffic as  download of any file on LAN or HQ Site or access on any application access on Internet etcOn Router i have configured also ZBF Zone Based Firewall and QOS Can you tell me if it is normal that ping with gateway on Cisco 1921 increasing until 2050 mms when we have traffic and to return to normal ping 1 mms when there is no traffic Configuration are as below  On Router  interface GigabitEthernet0067 description Internal encapsulation dot1Q 67 ip address 1088670 2552552550interface GigabitEthernet0059 description other services encapsulation dot1Q 59 ip address 1088590 2552552550 On Switch  interface GigabitEthernet101switchport access vlan 67 switchport mode access spanningtree portfastinterface GigabitEthernet102 switchport access vlan 59 switchport mode access spanningtree portfast interface GigabitEthernet103 switchport access vlan 3 switchport mode accessinterface GigabitEthernet104 switchport access vlan 4 switchport mode accessinterface GigabitEthernet105 description TRUNK switchport trunk allowed vlan 6759 switchport mode trunkThank you for help,Hi I think the IP addresses configured on the sub interfaces are a typo they should be other IP than zero interface GigabitEthernet0067description Internalencapsulation dot1Q 67ip address 1088670 2552552550  For example 1088671 interface GigabitEthernet0059description other services encapsulation dot1Q 59ip address 1088590 2552552550  For example 1088591 Now your configuration looks fine except the above mentioned it looks like a layer 1 issue have you replaced the cable SFPs or ports Hope it is useful  RVCE Hi Julio Sorry for mistake the configuration are as below  interface GigabitEthernet0067description Internalencapsulation dot1Q 67ip address 1088671 2552552550interface GigabitEthernet0059description other services encapsulation dot1Q 59ip address 1088591 2552552550 Also below you can see in more detail interface gi 00 where is connected the Switch LAN GigabitEthernet00 is up line protocol is up Hardware is CN Gigabit Ethernet address is 6cb2aeb94a50 bia 6cb2aeb94a50 MTU 1500 bytes BW 1000000 Kbitsec DLY 10 usec reliability 255255 txload 1255 rxload 1255 Encapsulation 8021Q Virtual LAN Vlan ID 1 loopback not set Keepalive set 10 sec Full Duplex 1Gbps media type is RJ45 output flowcontrol is unsupported input flowcontrol is unsupported ARP type ARPA ARP Timeout 040000 Last input 000000 output 000000 output hang never Last clearing of show interface counters never Input queue 07500 sizemaxdropsflushes Total output drops 548 Queueing strategy fifo Output queue 040 sizemax 5 minute input rate 2135000 bitssec 478 packetssec 5 minute output rate 2511000 bitssec 493 packetssec 26792098 packets input 1271317341 bytes 0 no buffer Received 59292 broadcasts 0 IP multicasts 0 runts 0 giants 0 throttles 396 input errors 0 CRC 0 frame 396 overrun 0 ignored 0 watchdog 3379 multicast 0 pause input 33233699 packets output 2429497681 bytes 0 underruns 0 output errors 0 collisions 0 interface resets 23708 unknown protocol drops 0 babbles 0 late collision 0 deferred 2 lost carrier 0 no carrier 0 pause output 0 output buffer failures 0 output buffers swapped out RVCE Hi In order to discard any problem between the PC and Router try creating a SVI 59 or 67 on the switch and make a ping with source that VLAN for example Switch interface vlan 67 ip address 108867250 2552552550 no shutdown ping 1088671 source vlan 67 repeat 1000 If you dont lose packets and the response time is ok the problem could be the PC or its cable otherwise change the switchport or router port and cable andor SFP Hope it is useful  RVCE Hi Yes its normal for a router to increase the ping response time when other traffic is present The primary goal for the router is to forward traffic Answer ping is on a relatively low priority for the router Try to ping something else maybe a server a a pc so the router just have to route the packets Mikael RVCE Hi Mikael Thank you for all information Can you tell me if existing any offical documentation from Cisco about this that Cisco Router has with low priority ping Thank you help RVCE Hi Here You are httpswwwciscocomcenussupportdocsiosnxossoftwareiossoftwarereleases121mainline12778pingtraceroutehtmlperformance Mikael RVCE Thank you very much Mikael RVCE Hi All If i have possibility to configuring Cisco Router to have high priority for ICMP even if i have more traffic
NAT from global VRF to private VRF,Good afternoon gentsI have a small issue regarding a NAT from a global VRF to a specific one Long story shortInternet1 GigabitEthernet000143  vrf forwarding DMZ86Internet2 GigabitEthernet0002021  vrf forwarding DMZ89 GigabitEthernet001153  local network defaultglobal VRF I would like to nat a specific Access List called NAT to DMZ89 VRF but without using a default route in global VRF I have specific 00000 routes for each VRF for the return traffic Is this thing even possible  If I add a static 0000 0000 via gateway from VRF 89 its working but I dont what to have a default route in my default VRF,
Route leaking routereplicate VS static routes,Hi All I would like to know what is the difference between the 2 route leaking method Does the routereplicate command have any advantages beside of the more effective control over multiple routes all keyword  routemap ,
OSPF flapping issue with Cisco 4500 Switches,Hi All We are having Cisco 4500 switch running on cat4500eUNIVERSALK9M Version 030400SG RELEASE SOFTWARE fc3 with ROM 1501rSG7Recently we were having issue with WAN links flap OSPF neighbor  The WAN links connected on Gig ports  found nothing wrong on those ports or nothing at WAN provider end After reloading switch all come back to normal but again after a week same issue reoccurred is there any Bug causing this weird behavior ,Are you seeing WAN link flap and so OSPF flap or just OSPF flap while WAN link stays up RVCE Hi Kumar WAN link flaps are there The switch interface where WAN links connected goes updown repetitively RVCE Look at the TSHOOT section in this doc for OSPF  debug ip ospf monitor may help you pinpoint the issue httpswwwciscocomnetworkersnw00pres220675pdf
RouteMap Conifg on 4510,Hi GuysCan any one help to configure routemap on 4510 series Layer 3 switch am able to create routemap but not able to apply on VLAN Cisco WSC4510RESupervisor 6EIOS cat4500eipbasemz12240SGbinROM 12244rSG,Hi can you paste the relevant configWhat do you mean with not being able to apply to the VLAN Doesnt accept the configuration in the SVI RVCE As far as I know you dont have the right license to run PBR ie it is not supported with IP BaseYou would need to upgrade your license to be able to use itEdit  Im assuming you are talking about PBR Jon RVCE Yes jon i want to use PBR can you please suggest PBR supporting licence which can i upgrade RVCE Actually its not just the license you have an issue withI just checked the configuration guide for your switch and IOS version and it says PBR is not supported with the sup 6E See this link httpwwwciscocomcenustddocsswitcheslancatalyst450012240sgconfigurationguideWrapper40SGpbroutehtmlI dont know whether later releases of the software would support PBR on that supervisor I did a quick check on some of the newer configuration guides and they dont mention the sup not being supported so maybe it isIts late where I am so I am logging off but Ill do a bit more checking tomorrowJon RVCE Just to add is it possible for you to run a debug  debug ip policy  This is to be done on your HSRP primary switch for VLAN 10 Attempt to access from the host 1042860 to any of those specified destinations in your ACL As you are running OSPF between 4500  Router Being that the next hop is not seen as a directly connected network you may need to change your configs to have it look something like this accesslist 110 permit ip host 1042860 10100 00255255 accesslist 110 permit ip host 1042860 10300 00255255 accesslist 110 permit ip host 1042860 10500 00255255 accesslist 110 permit ip host 1042860 10600 00255255  routemap Corebankpolicy permit 20 match ip address 110 set ip nexthop recursive 1043020  interface Vlan10 ip address 1043011 255255255248 ip policy routemap Corebankpolicy standby 10 ip 104309 standby 10 priority 200 standby 10 preempt
Same Autonomous Number in two locations on the Internet,HiHi i have an AS number  an IP range supplied by ARIN for my headquarters I am doing Multihome with a couple of ISPs  running BGP for thisI have another office with Internet connectivity in ASIAI want to use the same ARIN assigned AS number  an unused ARIN subnet from my Headquarters range for multihome BGP setup Is this possible,HiYes you can freely do that but make sure to use an unused IP subnet in the new location not advertised from the main office in order to prevent any routing loopsHTH please do rate all helpful repliesMohammed Mahmoud RVCE Thank you Can explain me as to how will the routing happen How do i have to configure the routing such that traffic intended to my headquarters  US  subnets is routed there  the traffic intended to my ASIA subnet is routed to the ASIA network Any Link  details would be greatly appreciated RVCE how both the sites are connected with each otherwhat ever i understand is you want to use the same AS number for your USA and ASIA network it means USA and ASIA network will be in the same AS cloudrightregardsDevang RVCE You understood it rightBoth sites are connected to the Internet using different ISPs RVCE i think tunneling will solve your issue creat the GRE tunnel between your two site and try to send and receive the routing update through that tunnel and get the reachablility between the loopback of each site and then configure the IBGP between both but during configuration you have to make sure that your asia site traffic should exit through the ISP of the ASIA and same for US so there you need the routfiltering for outgoing and incoming traffic for the internet and you have to make sure that only internal subnets of the two different site should be reachable via tunnelregardsDevang RVCE HiTeoretically this is ok but you need to ask the ISP in ASIA the smallest Ip prefix they can advertise And also think about prefix ISPs accept It cannot be in the same summarized net you already annonce But I believe that you are aware of thisBRBjornarsb RVCE Are you sure about this It cannot be in the same summarized net Can i use a 24 which is unused in US from a pool of 18 subnet Let me know if you have any docs for this  RVCE HiI have no docs this is practical conciderations from an ISP point of view Lets look at this scenarioISP1 announces 1921680016with same ASpathISP254 want to announce 1921681024with same aspathOk then ISP1 actually needs to allow inputof same net as they announceISP policy differ from country to countrySo Im adviceing you to apply for a second ip nett and a new AS numberIP and AS should teoretically and historically correspond with SOO areaBRBjornarsb RVCE Hi AnandIve worked a lot with RIRs but ive never done this before but basically you should peer with the 2 ISPs in the 2 regions you should advertise 2 different unsummarized subnet to both ISPs for example 2 different class Cs to each this should theoretically work but i strongly recommend that you contact ARIN they are the best party that can advise and help you do the best action to have this working according to their policies and they are really very helpful please contact them via hostmasterarinnet plus of course arranging with both ISPsHTH please do rate all helpful repliesMohammed Mahmoud RVCE Thanks i will do thisJust an anology  Isnt this case similar to Routing I advertise a bigger subnet of 18 from one region Then advertise another subnet of 24 from another region The Network will identify how to reach each network since the lower mask 24 will advertise specifically to that particular region  RVCE Hi AnandYes it is but i recommended that you contact your RIR ARIN and your ISP just to make sure that there is no contradiction with the internet routing policiesHTH please do rate all helpful repliesMohammed Mahmoud RVCE HiIn a local AS this is true but ISP policy isto not accept a prefix in the range its advertising self Same is with AS numberISP do not accept icomming AS witch is the same as its owns This is traditional BGP policies and the reaseon why BGP worksSo I quess that the answer you get is to do as I have posted else you could or probarly will get into trouble BRBjornarsb RVCE HiThe main problem here is the ASPath Site 1 will drop received routes from Site 2 since they are originated from the same AS ASPath filtering to avoid routing loops there are many work around thats why i strongly recommend that you contact ARIN and your ISPs to agree on the optimum solution for your scenarioHTHMohammed Mahmoud RVCE I got this info from Cisco IP JournalBut i am not able to understand whether it can be applicable to AS on the InternetRefer the attachment for the DiagramCan an ASN Be Split Across Separated SubdomainsThere are many cases of dispersed networks that exist in multiple locationsIf these locations are all administered by a single entity it may bedesirable to use a single ASN across all these domains This scenariois possible but considerable care needs to be exercised when designingthe routing configuration Figure 4 shows two distinct subdomains ofAS1 and they are not interconnected internallyFigure 4 Split ASAS 1AS 2 AS 3 AS 4AS 1B1920212825A19202025AS1 A advertises the prefix 19202025 to AS2 and this advertisementis propagated to AS2 AS3 and AS4 When AS4 passes thisadvertisement to the other segment of AS1 B this router rejects theadvertisement because the associated AS path 4 3 2 1 indicates thatthe route has already passed through AS1 Similarly the first segmentof AS1 A rejects the advertisement of 1920212825 from AS2because its path 4 3 2 1 also indicates that a loop has formed Torestore complete connectivity between the distinct parts of AS1 AS1needs to configure static routes at its edges If AS1 A configures astatic route to 1920212825 pointing toward AS2 and AS1 Bsimilarly configures a route to 19202025 through AS4 then theconfiguration enables full connectivityIn more complex configurations where each of the segments of thenetwork is multiply connected the static route configuration becomesmore complex However with very careful configuration a single ASNcan be distributed across multiple distinct networks
SYS2INPUTGETBUF Bad getbuffer bytes XXXX for interface Ethernet0,I have a 867VAeK9 with VDSL connection Last two days i take this error msg SYS2INPUTGETBUF Bad getbuffer bytes XXXX for interface Ethernet0 As a result interface Ethernet0 change state to down,Hello Gregory How many bytes the logs shows you more than 1500 Regards RVCE Hello Diana thanks for reply As you can see in the photo most 65533  and sometimes 65532 RegardsGregory
ASR1002 SPA5X1GEV2 SVI and Access VLAN,We are installing SPA5X1GEV2 on ASR1002 and I need a redundant link from the router going to two different L2 switches To do this we need to configure SVI and access VLAN ports I usually configure SPA for L3 port connection but not with L2 Can we configure SPA as switching ports and is SVI supported on ASR1002 Or is there in anyway we can implement this setup and is there any switching modules for ASR1002 Thank you,you can use subintface dfulguer wrote We are installing SPA5X1GEV2 on ASR1002 and I need a redundant link from the router going to two different L2 switches To do this we need to configure SVI and access VLAN ports I usually configure SPA for L3 port connection but not with L2 Can we configure SPA as switching ports and is SVI supported on ASR1002 Or is there in anyway we can implement this setup and is there any switching modules for ASR1002 Thank you to connect switch
